Tahun,Provinsi,SD/sederajat,SMP/sederajat,SM/sederajat
2003,ACEH,95.36,78.74,61.63
2003,BALI,91.58,68.63,53.36
2003,BANTEN,93.77,62.28,36.41
2003,BENGKULU,91.99,60.44,42.54
2003,DI YOGYAKARTA,91.98,79.06,59.77
2003,DKI JAKARTA,91.61,77.58,63.26
2003,GORONTALO,87.33,47.86,24.58
2003,JAMBI,93.78,61.3,40.68
2003,JAWA BARAT,92.45,61.02,34.65
2003,JAWA TENGAH,93.7,66.61,38.29
2003,JAWA TIMUR,93.48,64.47,40.83
2003,KALIMANTAN BARAT,88.89,50.88,29.11
2003,KALIMANTAN SELATAN,92.46,56.33,30.53
2003,KALIMANTAN TENGAH,94.75,58.64,37.23
2003,KALIMANTAN TIMUR,91.33,67.98,49.83
2003,KALIMANTAN UTARA,-,-,-
2003,KEP. BANGKA BELITUNG,91.69,50.61,33.8
2003,KEP. RIAU,-,-,-
2003,LAMPUNG,92.06,63.24,35.81
2003,MALUKU,91.03,62.59,43.53
2003,MALUKU UTARA,94.06,62.15,38.7
2003,NUSA TENGGARA BARAT,92.48,57.19,33.45
2003,NUSA TENGGARA TIMUR,88.27,39.1,23.57
2003,PAPUA,83.86,47.81,30.11
2003,PAPUA BARAT,-,-,-
2003,PAPUA BARAT DAYA,-,-,-
2003,PAPUA PEGUNUNGAN,-,-,-
2003,PAPUA SELATAN,-,-,-
2003,PAPUA TENGAH,-,-,-
2003,RIAU,94.13,67.19,47.25
2003,SULAWESI BARAT,-,-,-
2003,SULAWESI SELATAN,89.21,54.04,37.18
2003,SULAWESI TENGAH,90.85,54.68,33.25
2003,SULAWESI TENGGARA,91.19,63.39,36.59
2003,SULAWESI UTARA,89.18,68.33,44.42
2003,SUMATERA BARAT,92.59,66,49.88
2003,SUMATERA SELATAN,92.36,59.41,35.73
2003,SUMATERA UTARA,94.62,72.95,53.03
2004,ACEH,95.88,79.98,62.04
2004,BALI,93.48,69.37,54.11
2004,BANTEN,94.12,63.75,39.68
2004,BENGKULU,94.72,67.02,49.01
2004,DI YOGYAKARTA,92.55,77.37,61.51
2004,DKI JAKARTA,91.87,76.08,61.25
2004,GORONTALO,88.85,49.27,28.12
2004,JAMBI,93.46,65.69,42.24
2004,JAWA BARAT,93.41,61.74,37.18
2004,JAWA TENGAH,93.32,67.82,41.67
2004,JAWA TIMUR,93.71,67.1,41.94
2004,KALIMANTAN BARAT,93.11,53.28,31.51
2004,KALIMANTAN SELATAN,93.19,59.27,35.57
2004,KALIMANTAN TENGAH,95.1,65.15,38.82
2004,KALIMANTAN TIMUR,92.87,70.2,52.42
2004,KALIMANTAN UTARA,-,-,-
2004,KEP. BANGKA BELITUNG,90.02,56.38,38.15
2004,KEP. RIAU,-,-,-
2004,LAMPUNG,92.73,63.65,35.66
2004,MALUKU,90.92,68.06,56.39
2004,MALUKU UTARA,93.8,64.17,44.08
2004,NUSA TENGGARA BARAT,92.42,61.7,38.63
2004,NUSA TENGGARA TIMUR,90.79,43.26,28.27
2004,PAPUA,85.21,47.78,30.39
2004,PAPUA BARAT,-,-,-
2004,PAPUA BARAT DAYA,-,-,-
2004,PAPUA PEGUNUNGAN,-,-,-
2004,PAPUA SELATAN,-,-,-
2004,PAPUA TENGAH,-,-,-
2004,RIAU,94.64,69.65,47.73
2004,SULAWESI BARAT,-,-,-
2004,SULAWESI SELATAN,90.64,57.41,38.39
2004,SULAWESI TENGAH,91.44,59.45,36.33
2004,SULAWESI TENGGARA,90.18,64.02,40.17
2004,SULAWESI UTARA,88.26,67.87,50.71
2004,SUMATERA BARAT,93.64,69.55,53.13
2004,SUMATERA SELATAN,93.13,64.81,39.48
2004,SUMATERA UTARA,93.61,73.02,56.65
2005,ACEH,-,-,-
2005,BALI,93.26,70.03,53.04
2005,BANTEN,93.24,61.19,44.37
2005,BENGKULU,92.64,61.87,45.41
2005,DI YOGYAKARTA,95.46,83.27,62.45
2005,DKI JAKARTA,92.4,74.95,58.62
2005,GORONTALO,88.22,46.3,32.44
2005,JAMBI,93.52,64.44,39.54
2005,JAWA BARAT,91.86,59.99,36.89
2005,JAWA TENGAH,94.47,69.99,43.3
2005,JAWA TIMUR,94.91,68.85,44.86
2005,KALIMANTAN BARAT,92.49,53.31,32.25
2005,KALIMANTAN SELATAN,95.24,56.89,33.54
2005,KALIMANTAN TENGAH,95.14,71.49,39.49
2005,KALIMANTAN TIMUR,92.62,69.8,49.08
2005,KALIMANTAN UTARA,-,-,-
2005,KEP. BANGKA BELITUNG,92,61.61,39.57
2005,KEP. RIAU,91.65,66.48,51.06
2005,LAMPUNG,93.54,64.91,39.64
2005,MALUKU,91.49,70.43,54.37
2005,MALUKU UTARA,93.44,61,52.65
2005,NUSA TENGGARA BARAT,92.99,67.53,41.25
2005,NUSA TENGGARA TIMUR,92,43,27.77
2005,PAPUA,81.05,44.95,40.49
2005,PAPUA BARAT,-,-,-
2005,PAPUA BARAT DAYA,-,-,-
2005,PAPUA PEGUNUNGAN,-,-,-
2005,PAPUA SELATAN,-,-,-
2005,PAPUA TENGAH,-,-,-
2005,RIAU,94.95,72.5,50.51
2005,SULAWESI BARAT,-,-,-
2005,SULAWESI SELATAN,92.04,59.1,39.95
2005,SULAWESI TENGAH,92.1,60.89,35.45
2005,SULAWESI TENGGARA,92.64,66.04,44.04
2005,SULAWESI UTARA,90.64,65.86,50.02
2005,SUMATERA BARAT,93.65,68.77,53.36
2005,SUMATERA SELATAN,94.14,64.94,42.54
2005,SUMATERA UTARA,93.98,72.79,53.5
2006,ACEH,95.48,78.39,57.07
2006,BALI,93.33,70.15,53.54
2006,BANTEN,94.83,66.56,41.44
2006,BENGKULU,93.89,66.73,47.1
2006,DI YOGYAKARTA,94.38,72.3,55.85
2006,DKI JAKARTA,90.78,71.41,52.82
2006,GORONTALO,90.48,52.31,34.47
2006,JAMBI,94.36,65.32,40.95
2006,JAWA BARAT,94.21,62.13,37.84
2006,JAWA TENGAH,94.05,67.67,42.36
2006,JAWA TIMUR,94.2,70.28,46.35
2006,KALIMANTAN BARAT,93.82,60.92,34.77
2006,KALIMANTAN SELATAN,93.28,62.12,37.23
2006,KALIMANTAN TENGAH,95.97,67.69,42.66
2006,KALIMANTAN TIMUR,92.86,64,50.41
2006,KALIMANTAN UTARA,-,-,-
2006,KEP. BANGKA BELITUNG,91.51,55.3,34.84
2006,KEP. RIAU,93.66,72.01,52.13
2006,LAMPUNG,93.94,66.65,39.87
2006,MALUKU,92.24,76.86,55.66
2006,MALUKU UTARA,93.1,65.31,48.66
2006,NUSA TENGGARA BARAT,94.5,69.62,43.58
2006,NUSA TENGGARA TIMUR,91.58,47.23,30.97
2006,PAPUA,78.11,47.36,33.36
2006,PAPUA BARAT,88.16,53.94,35.31
2006,PAPUA BARAT DAYA,-,-,-
2006,PAPUA PEGUNUNGAN,-,-,-
2006,PAPUA SELATAN,-,-,-
2006,PAPUA TENGAH,-,-,-
2006,RIAU,94.72,72.93,49.43
2006,SULAWESI BARAT,91.67,55.19,32.35
2006,SULAWESI SELATAN,91.08,60.27,40.86
2006,SULAWESI TENGAH,92.87,62.97,39.51
2006,SULAWESI TENGGARA,92.26,72.42,47.28
2006,SULAWESI UTARA,90.4,66.03,48.78
2006,SUMATERA BARAT,94.17,67.77,51.05
2006,SUMATERA SELATAN,93.01,68.01,43.15
2006,SUMATERA UTARA,93.96,73.08,54.14
2007,ACEH,95.75,76.44,61.95
2007,BALI,94.49,66.69,55.81
2007,BANTEN,93.03,58.96,38.97
2007,BENGKULU,94.3,68.92,48.67
2007,DI YOGYAKARTA,93.53,74.94,57.88
2007,DKI JAKARTA,93.27,71.36,49.76
2007,GORONTALO,90.18,53.15,37.87
2007,JAMBI,93.88,65.88,44.41
2007,JAWA BARAT,94.17,67.27,38.29
2007,JAWA TENGAH,94.78,69.19,44.11
2007,JAWA TIMUR,94.5,69.21,47.97
2007,KALIMANTAN BARAT,93.48,54.77,36.16
2007,KALIMANTAN SELATAN,94,59.65,35.73
2007,KALIMANTAN TENGAH,95.48,60.12,39.28
2007,KALIMANTAN TIMUR,93.34,71.24,52.88
2007,KALIMANTAN UTARA,-,-,-
2007,KEP. BANGKA BELITUNG,91.59,52.58,37.53
2007,KEP. RIAU,93.5,71.69,52.63
2007,LAMPUNG,94.04,68.47,40.72
2007,MALUKU,93.45,70.08,59.38
2007,MALUKU UTARA,91.95,64.67,51.39
2007,NUSA TENGGARA BARAT,94.2,70.79,48.26
2007,NUSA TENGGARA TIMUR,91.61,49.75,33.75
2007,PAPUA,80.94,48.69,35.78
2007,PAPUA BARAT,90.67,48.76,43.16
2007,PAPUA BARAT DAYA,-,-,-
2007,PAPUA PEGUNUNGAN,-,-,-
2007,PAPUA SELATAN,-,-,-
2007,PAPUA TENGAH,-,-,-
2007,RIAU,94.8,70,51.54
2007,SULAWESI BARAT,92.17,53.39,33.28
2007,SULAWESI SELATAN,92.19,60.8,41.91
2007,SULAWESI TENGAH,92.04,59.36,39.27
2007,SULAWESI TENGGARA,93.64,65.89,47.32
2007,SULAWESI UTARA,90.75,66.25,50.45
2007,SUMATERA BARAT,94.45,67.33,54.23
2007,SUMATERA SELATAN,92.81,65.15,42.72
2007,SUMATERA UTARA,93.96,73.61,54.95
2008,ACEH,96.05,76.58,62.19
2008,BALI,94.93,67.34,55.65
2008,BANTEN,93.39,59.5,38.83
2008,BENGKULU,94.4,69.7,48.67
2008,DI YOGYAKARTA,94.32,75.31,58.96
2008,DKI JAKARTA,93.81,71.5,50.05
2008,GORONTALO,90.52,52.9,38.26
2008,JAMBI,94.31,66.31,44.81
2008,JAWA BARAT,94.19,68.2,38.31
2008,JAWA TENGAH,95.14,69.68,44.39
2008,JAWA TIMUR,94.57,69.55,47.93
2008,KALIMANTAN BARAT,93.96,55.55,36.65
2008,KALIMANTAN SELATAN,94.17,60.56,35.78
2008,KALIMANTAN TENGAH,95.71,60.46,39.13
2008,KALIMANTAN TIMUR,93.59,71.43,53.19
2008,KALIMANTAN UTARA,-,-,-
2008,KEP. BANGKA BELITUNG,91.77,53.11,37.72
2008,KEP. RIAU,93.79,72.18,53.4
2008,LAMPUNG,94.28,68.94,41.05
2008,MALUKU,93.87,70.58,59.38
2008,MALUKU UTARA,92.47,65.13,51.73
2008,NUSA TENGGARA BARAT,94.2,71.44,48.38
2008,NUSA TENGGARA TIMUR,91.72,49.87,34.67
2008,PAPUA,81.76,48.95,35.79
2008,PAPUA BARAT,90.76,48.98,43.74
2008,PAPUA BARAT DAYA,-,-,-
2008,PAPUA PEGUNUNGAN,-,-,-
2008,PAPUA SELATAN,-,-,-
2008,PAPUA TENGAH,-,-,-
2008,RIAU,95.04,70.66,51.84
2008,SULAWESI BARAT,92.75,53.24,34.21
2008,SULAWESI SELATAN,92.17,61.06,41.99
2008,SULAWESI TENGAH,92.82,59.73,39.93
2008,SULAWESI TENGGARA,94.24,66.41,47.98
2008,SULAWESI UTARA,91.17,66.58,50.45
2008,SUMATERA BARAT,94.66,67.63,54.68
2008,SUMATERA SELATAN,92.97,65.87,43.05
2008,SUMATERA UTARA,94.26,74.17,55.16
2009,ACEH,96.95,77.4,62.12
2009,BALI,94.99,67.38,56.48
2009,BANTEN,94.07,59.69,38.77
2009,BENGKULU,94.98,69.84,48.99
2009,DI YOGYAKARTA,94.38,75.34,58.69
2009,DKI JAKARTA,94.07,72.02,50.43
2009,GORONTALO,90.4,53.05,38.47
2009,JAMBI,95.05,66.42,44.71
2009,JAWA BARAT,94.56,67.91,38.59
2009,JAWA TENGAH,95.63,69.67,44.53
2009,JAWA TIMUR,95.27,69.9,48.26
2009,KALIMANTAN BARAT,93.96,55.45,36.4
2009,KALIMANTAN SELATAN,94.49,60.56,35.71
2009,KALIMANTAN TENGAH,96.14,60.59,39.27
2009,KALIMANTAN TIMUR,93.74,72.06,53.1
2009,KALIMANTAN UTARA,-,-,-
2009,KEP. BANGKA BELITUNG,92.52,53.1,38.13
2009,KEP. RIAU,93.92,72.53,53.42
2009,LAMPUNG,94.79,69.17,41.43
2009,MALUKU,94.38,71.48,59.58
2009,MALUKU UTARA,93.39,65.49,51.74
2009,NUSA TENGGARA BARAT,94.75,71.32,48.51
2009,NUSA TENGGARA TIMUR,92.46,50.21,34.15
2009,PAPUA,76.09,49.08,35.77
2009,PAPUA BARAT,91.25,49.03,43.55
2009,PAPUA BARAT DAYA,-,-,-
2009,PAPUA PEGUNUNGAN,-,-,-
2009,PAPUA SELATAN,-,-,-
2009,PAPUA TENGAH,-,-,-
2009,RIAU,95.52,70.57,51.78
2009,SULAWESI BARAT,92.77,53.35,33.41
2009,SULAWESI SELATAN,92.27,61.74,42.03
2009,SULAWESI TENGAH,92.98,60.22,39.52
2009,SULAWESI TENGGARA,94.71,66.45,47.9
2009,SULAWESI UTARA,91.9,66.69,50.46
2009,SUMATERA BARAT,94.75,67.61,54.5
2009,SUMATERA SELATAN,93.61,65.86,43.01
2009,SUMATERA UTARA,94.46,74.21,55.3
2010,ACEH,97.32,78.58,62.42
2010,BALI,95.53,67.83,57.14
2010,BANTEN,94.73,60.32,39.61
2010,BENGKULU,95.53,70.39,49.97
2010,DI YOGYAKARTA,94.76,75.55,59.35
2010,DKI JAKARTA,94.59,71.96,50.57
2010,GORONTALO,90.81,53.83,39.15
2010,JAMBI,95.61,66.91,45.31
2010,JAWA BARAT,95.02,68.43,38.84
2010,JAWA TENGAH,95.93,69.92,45
2010,JAWA TIMUR,95.63,70.17,48.6
2010,KALIMANTAN BARAT,94.76,56.06,36.83
2010,KALIMANTAN SELATAN,95,60.9,36.24
2010,KALIMANTAN TENGAH,96.63,61.3,39.62
2010,KALIMANTAN TIMUR,94.14,72.56,53.66
2010,KALIMANTAN UTARA,-,-,-
2010,KEP. BANGKA BELITUNG,92.86,53.58,38.69
2010,KEP. RIAU,94.56,72.92,54.74
2010,LAMPUNG,95.2,69.61,41.97
2010,MALUKU,95,71.88,59.8
2010,MALUKU UTARA,93.97,66.01,52.68
2010,NUSA TENGGARA BARAT,95.16,71.73,49.35
2010,NUSA TENGGARA TIMUR,93.03,51.03,34.93
2010,PAPUA,76.22,49.62,36.06
2010,PAPUA BARAT,92.29,50.1,44.75
2010,PAPUA BARAT DAYA,-,-,-
2010,PAPUA PEGUNUNGAN,-,-,-
2010,PAPUA SELATAN,-,-,-
2010,PAPUA TENGAH,-,-,-
2010,RIAU,96.24,71.36,52.24
2010,SULAWESI BARAT,93.94,54.24,34.03
2010,SULAWESI SELATAN,92.86,62.32,42.75
2010,SULAWESI TENGAH,93.54,60.83,40.23
2010,SULAWESI TENGGARA,95.06,67.14,48.54
2010,SULAWESI UTARA,92.25,67.07,50.7
2010,SUMATERA BARAT,95.51,68.22,55.06
2010,SUMATERA SELATAN,94.17,66.27,43.49
2010,SUMATERA UTARA,95.33,74.76,55.72
2011,ACEH,92.51,74.87,61.37
2011,BALI,90.08,69.53,59.48
2011,BANTEN,92.41,71.01,46.24
2011,BENGKULU,92.6,68.81,50.78
2011,DI YOGYAKARTA,92.04,69.48,59.25
2011,DKI JAKARTA,90.26,69.66,49.91
2011,GORONTALO,90.03,60.43,44.46
2011,JAMBI,92.36,67.43,49.46
2011,JAWA BARAT,92.26,69.89,42.45
2011,JAWA TENGAH,90.2,69.92,47.17
2011,JAWA TIMUR,91.9,71.78,49.29
2011,KALIMANTAN BARAT,92.3,59.05,36.86
2011,KALIMANTAN SELATAN,92.24,66.35,43.36
2011,KALIMANTAN TENGAH,92.15,66.62,44.99
2011,KALIMANTAN TIMUR,92.29,72.5,55.52
2011,KALIMANTAN UTARA,-,-,-
2011,KEP. BANGKA BELITUNG,90.92,60.85,41.92
2011,KEP. RIAU,92.24,74.29,56.85
2011,LAMPUNG,91.63,67.06,46.05
2011,MALUKU,88.38,63.19,52.78
2011,MALUKU UTARA,89.83,65.99,52.36
2011,NUSA TENGGARA BARAT,92.61,76.56,53.41
2011,NUSA TENGGARA TIMUR,91.97,56.51,40.33
2011,PAPUA,69.6,44.44,30.82
2011,PAPUA BARAT,87.77,56.68,48.33
2011,PAPUA BARAT DAYA,-,-,-
2011,PAPUA PEGUNUNGAN,-,-,-
2011,PAPUA SELATAN,-,-,-
2011,PAPUA TENGAH,-,-,-
2011,RIAU,91.63,66.26,53.31
2011,SULAWESI BARAT,89.18,62.76,48.41
2011,SULAWESI SELATAN,89.48,65.87,48.17
2011,SULAWESI TENGAH,90.08,62.99,48.5
2011,SULAWESI TENGGARA,88.55,64.22,51.32
2011,SULAWESI UTARA,85.88,60.94,50.15
2011,SUMATERA BARAT,93.44,67.77,54.78
2011,SUMATERA SELATAN,89.57,64.74,45.79
2011,SUMATERA UTARA,91.61,68.08,57.48
2012,ACEH,94.66,78.61,61.82
2012,BALI,91.01,74.46,63.55
2012,BANTEN,93.67,73.79,53
2012,BENGKULU,94.1,71.97,50.83
2012,DI YOGYAKARTA,96.11,72.44,63.54
2012,DKI JAKARTA,90.48,70.31,54.25
2012,GORONTALO,92,60.48,45.47
2012,JAMBI,94.1,69.56,46.09
2012,JAWA BARAT,93.41,73.54,51.24
2012,JAWA TENGAH,92.05,72.52,51.11
2012,JAWA TIMUR,92.93,74.42,52.36
2012,KALIMANTAN BARAT,92.93,59.72,37.44
2012,KALIMANTAN SELATAN,93.16,66.94,49.39
2012,KALIMANTAN TENGAH,96.03,65.11,43.55
2012,KALIMANTAN TIMUR,94.06,74.12,60.34
2012,KALIMANTAN UTARA,-,-,-
2012,KEP. BANGKA BELITUNG,94.12,63.28,42.93
2012,KEP. RIAU,94.5,78.67,63.53
2012,LAMPUNG,93.5,72.08,46.14
2012,MALUKU,90.05,66.03,50.2
2012,MALUKU UTARA,92.59,64.43,56.76
2012,NUSA TENGGARA BARAT,93.61,77.44,53.81
2012,NUSA TENGGARA TIMUR,92.16,55.83,38.19
2012,PAPUA,70.78,43.61,29.16
2012,PAPUA BARAT,88.84,57.9,44.98
2012,PAPUA BARAT DAYA,-,-,-
2012,PAPUA PEGUNUNGAN,-,-,-
2012,PAPUA SELATAN,-,-,-
2012,PAPUA TENGAH,-,-,-
2012,RIAU,92.62,70.18,53.06
2012,SULAWESI BARAT,91.29,61.75,44.54
2012,SULAWESI SELATAN,90.61,69.68,54.2
2012,SULAWESI TENGAH,90.79,62.36,52.25
2012,SULAWESI TENGGARA,92.54,68.84,50.67
2012,SULAWESI UTARA,87.78,62.39,51.15
2012,SUMATERA BARAT,95.77,70.08,55.68
2012,SUMATERA SELATAN,92.79,67.94,49.34
2012,SUMATERA UTARA,93.35,70.57,60.29
2013,ACEH,97.09,82.57,63.43
2013,BALI,94.11,80.69,67.04
2013,BANTEN,96.24,78.17,53.28
2013,BENGKULU,97.37,73.07,60.32
2013,DI YOGYAKARTA,98.75,75.64,64.86
2013,DKI JAKARTA,96.07,75.46,55.4
2013,GORONTALO,95.93,64.26,48.91
2013,JAMBI,96.43,73.23,52.13
2013,JAWA BARAT,97.08,76.76,52.25
2013,JAWA TENGAH,95.68,74.94,51.81
2013,JAWA TIMUR,96.1,77.36,53.3
2013,KALIMANTAN BARAT,94.39,59.53,44.79
2013,KALIMANTAN SELATAN,96.74,69.57,50.05
2013,KALIMANTAN TENGAH,97.41,68.15,45.43
2013,KALIMANTAN TIMUR,95.76,75.79,62.91
2013,KALIMANTAN UTARA,-,-,-
2013,KEP. BANGKA BELITUNG,95.72,63.83,50.8
2013,KEP. RIAU,97.64,83.31,67.62
2013,LAMPUNG,97.41,74.96,53.48
2013,MALUKU,92.25,67.06,55.59
2013,MALUKU UTARA,95.47,70.73,59.54
2013,NUSA TENGGARA BARAT,96.71,80.21,58
2013,NUSA TENGGARA TIMUR,93.53,59.32,47.3
2013,PAPUA,72.57,45.76,36.73
2013,PAPUA BARAT,89.71,60.9,53.8
2013,PAPUA BARAT DAYA,-,-,-
