Provinsi,SD/sederajat (2003),SD/sederajat (2004),SD/sederajat (2005),SD/sederajat (2006),SD/sederajat (2007),SD/sederajat (2008),SD/sederajat (2009),SD/sederajat (2010),SD/sederajat (2011),SD/sederajat (2012),SD/sederajat (2013),SD/sederajat (2014),SD/sederajat (2015),SD/sederajat (2016),SD/sederajat (2017),SD/sederajat (2018),SD/sederajat (2019),SD/sederajat (2020),SD/sederajat (2021),SD/sederajat (2022),SD/sederajat (2023),SD/sederajat (2024),SD/sederajat (2025),SMP/sederajat (2003),SMP/sederajat (2004),SMP/sederajat (2005),SMP/sederajat (2006),SMP/sederajat (2007),SMP/sederajat (2008),SMP/sederajat (2009),SMP/sederajat (2010),SMP/sederajat (2011),SMP/sederajat (2012),SMP/sederajat (2013),SMP/sederajat (2014),SMP/sederajat (2015),SMP/sederajat (2016),SMP/sederajat (2017),SMP/sederajat (2018),SMP/sederajat (2019),SMP/sederajat (2020),SMP/sederajat (2021),SMP/sederajat (2022),SMP/sederajat (2023),SMP/sederajat (2024),SMP/sederajat (2025),SM/sederajat (2003),SM/sederajat (2004),SM/sederajat (2005),SM/sederajat (2006),SM/sederajat (2007),SM/sederajat (2008),SM/sederajat (2009),SM/sederajat (2010),SM/sederajat (2011),SM/sederajat (2012),SM/sederajat (2013),SM/sederajat (2014),SM/sederajat (2015),SM/sederajat (2016),SM/sederajat (2017),SM/sederajat (2018),SM/sederajat (2019),SM/sederajat (2020),SM/sederajat (2021),SM/sederajat (2022),SM/sederajat (2023),SM/sederajat (2024),SM/sederajat (2025)
Aceh,95.36,95.88,90.25,95.48,95.75,96.05,96.95,97.32,92.51,94.66,97.09,97.8,97.99,98.16,98.54,99.1,99.12,99.03,98.95,99.07,98.97,97.96,96.32,78.74,79.98,62.78,78.39,76.44,76.58,77.4,78.58,74.87,78.61,82.57,85.2,85.55,85.73,86.31,86.38,86.48,86.87,86.95,88.21,84.85,84.22,81.37,61.63,62.04,45.84,57.07,61.95,62.19,62.12,62.42,61.37,61.82,63.43,69.2,69.82,70.0,70.15,70.26,70.35,70.7,70.8,71.16,71.7,70.94,70.36
Bali,91.58,93.48,93.26,93.33,94.49,94.93,94.99,95.53,90.08,91.01,94.11,95.29,95.64,95.75,96.09,96.19,96.81,96.84,97.2,97.46,97.77,98.7,97.05,68.63,69.37,70.03,70.15,66.69,67.34,67.38,67.83,69.53,74.46,80.69,84.58,84.78,84.99,85.32,86.0,86.75,87.26,87.11,86.88,84.78,86.3,84.81,53.36,54.11,53.04,53.54,55.81,55.65,56.48,57.14,59.48,63.55,67.04,70.83,71.53,71.71,72.4,73.0,73.01,73.29,74.82,74.73,75.6,74.19,76.06
Banten,93.77,94.12,93.24,94.83,93.03,93.39,94.07,94.73,92.41,93.67,96.24,96.69,96.98,97.22,97.56,97.97,97.98,97.95,98.15,97.93,97.97,98.09,97.09,62.28,63.75,61.19,66.56,58.96,59.5,59.69,60.32,71.01,73.79,78.17,79.56,79.84,79.93,80.59,80.91,81.93,82.73,84.28,84.67,85.43,83.68,81.28,36.41,39.68,44.37,41.44,38.97,38.83,38.77,39.61,46.24,53.0,53.28,56.87,57.04,57.21,57.88,58.72,58.8,59.06,59.69,59.54,60.42,63.5,65.28
Bengkulu,91.99,94.72,92.64,93.89,94.3,94.4,94.98,95.53,92.6,94.1,97.37,98.03,98.1,98.22,98.6,98.63,98.66,98.65,98.61,98.6,98.61,98.33,96.12,60.44,67.02,61.87,66.73,68.92,69.7,69.84,70.39,68.81,71.97,73.07,76.44,76.88,77.02,77.85,78.03,78.81,79.77,80.25,80.25,81.08,82.36,78.83,42.54,49.01,45.41,47.1,48.67,48.67,48.99,49.97,50.78,50.83,60.32,64.61,64.97,65.29,65.33,65.45,65.51,65.82,66.08,66.61,67.09,69.14,69.32
Daerah Istimewa Yogyakarta,91.98,92.55,95.46,94.38,93.53,94.32,94.38,94.76,92.04,96.11,98.75,98.98,99.23,99.21,99.29,99.5,99.53,99.59,99.44,99.43,99.36,99.43,98.77,79.06,77.37,83.27,72.3,74.94,75.31,75.34,75.55,69.48,72.44,75.64,82.2,82.86,83.05,83.25,83.61,84.04,83.98,83.62,85.28,85.62,90.14,88.67,59.77,61.51,62.45,55.85,57.88,58.96,58.69,59.35,59.25,63.54,64.86,68.46,68.6,68.96,69.66,70.22,70.49,70.98,71.42,74.5,76.37,77.86,78.42
Daerah Khusus Jakarta,91.61,91.87,92.4,90.78,93.27,93.81,94.07,94.59,90.26,90.48,96.07,96.84,96.91,97.01,97.64,98.03,98.12,98.05,98.22,98.37,98.44,98.39,98.47,77.58,76.08,74.95,71.41,71.36,71.5,72.02,71.96,69.66,70.31,75.46,79.61,80.2,80.35,80.72,80.81,81.68,82.47,83.01,84.22,84.95,88.67,87.55,63.26,61.25,58.62,52.82,49.76,50.05,50.43,50.57,49.91,54.25,55.4,58.79,59.04,59.3,59.54,60.01,60.24,60.42,60.53,60.88,60.81,64.85,69.9
Gorontalo,87.33,88.85,88.22,90.48,90.18,90.52,90.4,90.81,90.03,92.0,95.93,96.74,97.09,97.23,97.54,98.39,98.41,98.5,98.65,98.74,98.69,98.2,95.75,47.86,49.27,46.3,52.31,53.15,52.9,53.05,53.83,60.43,60.48,64.26,68.29,68.71,68.89,69.15,69.33,70.28,70.68,71.15,71.66,73.55,72.51,72.95,24.58,28.12,32.44,34.47,37.87,38.26,38.47,39.15,44.46,45.47,48.91,56.07,56.24,56.37,56.82,57.38,57.52,57.86,58.21,58.47,60.18,61.23,64.63
Jambi,93.78,93.46,93.52,94.36,93.88,94.31,95.05,95.61,92.36,94.1,96.43,97.15,97.68,97.81,98.41,99.04,99.07,99.11,99.41,99.33,99.33,98.17,97.02,61.3,65.69,64.44,65.32,65.88,66.31,66.42,66.91,67.43,69.56,73.23,77.34,77.94,78.09,78.57,79.38,79.48,79.93,79.88,79.93,80.23,79.65,78.47,40.68,42.24,39.54,40.95,44.41,44.81,44.71,45.31,49.46,46.09,52.13,59.22,59.41,59.52,59.98,60.92,60.92,61.38,61.56,60.73,60.6,62.48,63.05
Jawa Barat,92.45,93.41,91.86,94.21,94.17,94.19,94.56,95.02,92.26,93.41,97.08,97.6,97.68,97.82,98.05,98.25,98.27,98.37,98.37,98.29,98.2,98.53,98.02,61.02,61.74,59.99,62.13,67.27,68.2,67.91,68.43,69.89,73.54,76.76,79.3,79.55,79.76,80.29,81.01,81.26,82.06,82.88,82.8,83.61,84.61,83.84,34.65,37.18,36.89,37.84,38.29,38.31,38.59,38.84,42.45,51.24,52.25,56.48,56.73,56.92,57.22,57.33,57.53,57.9,58.58,58.6,59.01,60.68,67.33
Jawa Tengah,93.7,93.32,94.47,94.05,94.78,95.14,95.63,95.93,90.2,92.05,95.68,96.45,96.57,96.64,97.13,97.75,97.77,97.9,98.22,98.39,98.46,98.39,97.21,66.61,67.82,69.99,67.67,69.19,69.68,69.67,69.92,69.92,72.52,74.94,78.57,78.66,78.89,79.13,79.31,79.84,80.53,80.99,81.02,81.56,81.03,80.29,38.29,41.67,43.3,42.36,44.11,44.39,44.53,45.0,47.17,51.11,51.81,58.11,58.27,58.49,59.2,59.31,59.35,59.74,60.46,61.17,61.46,62.56,67.81
