Provinsi/Kabupaten/Kota/Indonesia,,
,Indeks Pembangunan Manusia (IPM) menurut Jenis Kelamin ,
,Laki-laki,Perempuan
,2025,2025
ACEH,79.85,74.35
Simeulue,77.3,62.04
Aceh Singkil,78.41,67.24
Aceh Selatan,76.26,70.76
Aceh Tenggara,78.94,73.98
Aceh Timur,76.6,67.22
Aceh Tengah,78.43,77.02
Aceh Barat,80.52,70.23
Aceh Besar,80.26,77.06
Pidie,77.67,73.04
Bireuen,79.55,75.99
Aceh Utara,77.52,72.46
Aceh Barat Daya,77.74,70.71
Gayo Lues,77.41,70.32
Aceh Tamiang,80.84,67.72
Nagan Raya,78.38,71.66
Aceh Jaya,78.83,71.21
Bener Meriah,79.42,77.24
Pidie Jaya,80.22,76.71
Kota Banda Aceh,91.05,88.63
Kota Sabang,82.31,79.33
Kota Langsa,84.06,81.37
Kota Lhokseumawe,84.38,81.7
Kota Subulussalam,77.19,66.5
SUMATERA UTARA,80.14,73.9
Nias,70.13,64.17
Mandailing Natal,78.42,73.84
Tapanuli Selatan,80.13,73.23
Tapanuli Tengah,76.95,73.63
Tapanuli Utara,79.22,78.09
Toba Samosir / Toba,79.75,79.14
Labuhan Batu,80.2,73.32
Asahan,79.12,73.3
Simalungun,80.03,75.35
Dairi,76.89,76.32
Karo,78.94,76.83
Deli Serdang,82.51,76.45
Langkat,79.27,71.72
Nias Selatan,71.79,64.65
Humbang Hasundutan,74.94,73.78
Pakpak Bharat,74.34,73.87
Samosir,76.32,74.62
Serdang Bedagai,78.92,71.01
Batu Bara,78.61,66.55
Padang Lawas Utara,79.83,70.85
Padang Lawas,77.94,68.22
Labuhan Batu Selatan,80.35,71.86
Labuhan Batu Utara,80.67,73.85
Nias Utara,73.74,60.13
Nias Barat,72.99,64.13
Kota Sibolga,79.06,78.11
Kota Tanjung Balai,80.33,73.99
Kota Pematang Siantar,84.01,81.05
Kota Tebing Tinggi,82.59,78.06
Kota Medan,87.22,83.33
Kota Binjai,83.3,76.74
Kota Padangsidimpuan,80.66,79.18
Kota Gunungsitoli,78.64,71.59
SUMATERA BARAT,79.95,76.89
Kepulauan Mentawai,72.24,65.74
Pesisir Selatan,76.7,73.72
Solok,75.98,73.25
Sijunjung,77.44,73.44
Tanah Datar,77.99,76.73
Padang Pariaman,79.49,75.3
Agam,77.76,76.03
Lima Puluh Kota,76.7,73.24
Pasaman,75.22,70.16
Solok Selatan,76.59,73.36
Dharmasraya,79.3,71.87
Pasaman Barat,77.33,70.2
Kota Padang,88.54,83.94
Kota Solok,83.03,80.61
Kota Sawah Lunto,79.96,77.04
Kota Padang Panjang,81.32,80.06
Kota Bukittinggi,83.38,83.04
Kota Payakumbuh,82.45,81.62
Kota Pariaman,82.17,81.27
RIAU,80.06,72.41
Kuantan Singingi,78.7,71.68
Indragiri Hulu,77.81,68.56
