Provinsi,IPM Laki-laki (2025),IPM Perempuan (2025)
Aceh,79.85,74.35
Bali,81.96,78.53
Banten,80.81,75.62
Bengkulu,79.34,73.14
Daerah Istimewa Yogyakarta,85.08,81.32
Daerah Khusus Jakarta,86.84,84.17
Gorontalo,74.93,66.81
Jambi,79.14,71.58
Jawa Barat,79.33,72.4
Jawa Tengah,78.32,73.41
Jawa Timur,79.83,74.47
Kalimantan Barat,76.3,67.87
Kalimantan Selatan,79.89,72.68
Kalimantan Tengah,78.7,71.18
Kalimantan Timur,83.74,73.7
Kalimantan Utara,77.77,69.51
Kepulauan Bangka Belitung,78.57,71.88
Kepulauan Riau,83.44,79.49
Lampung,77.52,71.24
Maluku,77.35,72.63
Maluku Utara,77.11,70.26
Nusa Tenggara Barat,77.9,71.6
Nusa Tenggara Timur,73.52,69.0
Papua,78.64,71.31
Papua Barat,75.44,62.52
Papua Barat Daya,77.1,65.2
Papua Pegunungan,59.65,52.39
Papua Selatan,74.8,62.95
Papua Tengah,65.45,53.79
Riau,80.06,72.41
Sulawesi Barat,74.93,68.26
Sulawesi Selatan,79.45,74.92
Sulawesi Tengah,76.17,70.95
Sulawesi Tenggara,78.18,71.84
Sulawesi Utara,79.15,76.13
Sumatera Barat,79.95,76.89
Sumatera Selatan,77.99,73.38
Sumatera Utara,80.14,73.9
