Provinsi/Kabupaten/Kota/Indonesia,,
,Indeks Pembangunan Manusia (IPM) menurut Jenis Kelamin ,
,Laki-laki,Perempuan
,2025,2025
ACEH,79.85,74.35
SUMATERA UTARA,80.14,73.9
SUMATERA BARAT,79.95,76.89
RIAU,80.06,72.41
JAMBI,79.14,71.58
SUMATERA SELATAN,77.99,73.38
BENGKULU,79.34,73.14
LAMPUNG,77.52,71.24
KEP. BANGKA BELITUNG,78.57,71.88
KEPULAUAN RIAU,83.44,79.49
DKI JAKARTA,86.84,84.17
JAWA BARAT,79.33,72.4
JAWA TENGAH,78.32,73.41
D I YOGYAKARTA,85.08,81.32
JAWA TIMUR,79.83,74.47
BANTEN,80.81,75.62
BALI,81.96,78.53
NUSA TENGGARA BARAT,77.9,71.6
NUSA TENGGARA TIMUR,73.52,69
KALIMANTAN BARAT,76.3,67.87
KALIMANTAN TENGAH,78.7,71.18
KALIMANTAN SELATAN,79.89,72.68
KALIMANTAN TIMUR,83.74,73.7
KALIMANTAN UTARA,77.77,69.51
SULAWESI UTARA,79.15,76.13
SULAWESI TENGAH,76.17,70.95
SULAWESI SELATAN,79.45,74.92
SULAWESI TENGGARA,78.18,71.84
GORONTALO,74.93,66.81
SULAWESI BARAT,74.93,68.26
MALUKU,77.35,72.63
MALUKU UTARA,77.11,70.26
PAPUA BARAT,75.44,62.52
PAPUA BARAT DAYA,77.1,65.2
PAPUA,78.64,71.31
PAPUA SELATAN,74.8,62.95
PAPUA TENGAH,65.45,53.79
PAPUA PEGUNUNGAN,59.65,52.39
