Provinsi/Kabupaten/Kota/Indonesia,,,,,,,,,,
,,,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ACEH,8768,8957,9186,9603,9492,9572,9963,10334,10811,11191
Simeulue,6542,6677,6824,7210,7085,7148,7371,7686,8106,8555
Aceh Singkil,8068,8230,8506,8715,8707,8776,8994,9374,9862,10227
Aceh Selatan,7397,7567,7891,8187,8089,8180,8353,8712,9190,9573
Aceh Tenggara,7212,7359,7685,8067,8020,8030,8222,8566,8876,9097
Aceh Timur,7825,7961,8252,8600,8489,8577,9127,9436,9889,10284
Aceh Tengah,9920,10021,10394,10782,10673,10780,10957,11323,11805,12175
Aceh Barat,8559,8989,9134,9692,9516,9593,9775,10085,10548,10937
Aceh Besar,8788,8965,9192,9661,9641,9644,9894,10309,10810,11072
Pidie,9273,9377,9492,9824,9816,9860,10211,10584,11187,11607
Bireuen,7885,8237,8378,8889,8857,8867,9438,9758,10150,10418
Aceh Utara,7520,7632,7919,8189,8122,8201,8620,8970,9374,9813
Aceh Barat Daya,7567,7723,8093,8491,8316,8428,8651,9043,9559,9922
Gayo Lues,8048,8322,8529,8845,8791,8856,9094,9407,9967,10237
Aceh Tamiang,7766,7931,8032,8362,8327,8367,8759,9050,9529,9959
Nagan Raya,7460,7732,7936,8348,8216,8292,8581,9062,9523,9759
Aceh Jaya,8796,8898,9262,9682,9615,9666,10041,10461,11007,11324
Bener Meriah,10140,10428,10626,11124,11098,11118,11421,11855,12360,12657
Pidie Jaya,9590,9691,9967,10364,10071,10290,10701,11005,11274,11543
Kota Banda Aceh,15737,15917,16234,16892,16778,16891,17228,17521,18100,18356
Kota Sabang,10507,10610,10899,11444,11273,11378,11780,12137,12625,13040
Kota Langsa,11015,11261,11497,12099,12057,12067,12353,12678,13133,13510
Kota Lhokseumawe,10549,10673,10863,11421,11367,11390,11701,12125,12694,13071
Kota Subulussalam,6669,6887,7039,7463,7317,7385,7689,8065,8491,8910
SUMATERA UTARA,9744,10036,10391,10649,10420,10499,10848,11049,11460,11898
Nias,6409,6629,6941,7042,6898,6995,7196,7301,7698,8115
Mandailing Natal,9237,9385,9653,9900,9684,9771,10061,10251,10644,11100
Tapanuli Selatan,10821,10955,11209,11410,11236,11304,11727,11829,12213,12557
Tapanuli Tengah,9694,9852,10067,10175,10071,10138,10495,10690,11128,11687
Tapanuli Utara,11242,11407,11607,11791,11648,11710,11892,12115,12382,12643
Toba Samosir / Toba,11687,11846,12095,12375,12154,12224,12475,12676,12960,13333
Labuhan Batu,10559,10760,11053,11193,11150,11212,11474,11670,12102,12537
Asahan,10288,10477,10735,10983,10890,11030,11515,11795,12301,12760
Simalungun,10855,11055,11311,11422,11308,11376,11524,11746,12119,12585
Dairi,10190,10395,10492,10602,10350,10504,10740,10969,11355,11794
Karo,11925,12059,12367,12474,12349,12412,12554,12779,13278,13583
Deli Serdang,11683,11891,12132,12317,12225,12291,12657,12890,13279,13697
Langkat,10567,10784,11088,11208,11071,11142,11439,11632,12080,12452
Nias Selatan,6647,6792,6941,7105,6974,7041,7195,7299,7730,8082
Humbang Hasundutan,7135,7412,7630,7902,7850,8016,8250,8476,8844,9097
Pakpak Bharat,7641,7913,8099,8402,8170,8254,8558,8764,9158,9462
Samosir,7813,8163,8348,8654,8422,8504,8991,9158,9634,10057
Serdang Bedagai,10246,10551,10737,11061,10950,11017,11499,11695,12015,12429
Batu Bara,9886,10084,10385,10575,10410,10539,10755,10933,11373,11747
Padang Lawas Utara,9600,9737,9912,10194,9987,10055,10447,10615,10925,11371
Padang Lawas,8094,8445,8772,9100,8807,8921,9207,9395,9821,10258
Labuhan Batu Selatan,10712,10892,11280,11553,11495,11562,11751,11950,12353,12797
Labuhan Batu Utara,11278,11510,11730,11957,11779,11840,12258,12429,12839,13347
Nias Utara,5770,5835,6041,6245,6064,6155,6575,6788,7189,7606
Nias Barat,5391,5594,5817,6009,5830,5924,6152,6382,6740,7032
Kota Sibolga,11034,11221,11405,11656,11473,11540,12135,12285,12713,13317
Kota Tanjung Balai,10577,10778,11102,11383,11132,11225,11589,11753,12264,12726
Kota Pematang Siantar,11878,12106,12290,12571,12372,12436,12744,12984,13349,13783
Kota Tebing Tinggi,11747,12055,12434,12895,12876,12939,13144,13385,13900,14499
Kota Medan,14393,14613,14845,15033,14890,14999,15503,15674,16069,16489
Kota Binjai,10342,10487,10750,11260,10997,11063,11358,11567,12015,12409
Kota Padangsidimpuan,10198,10464,10795,11181,10856,10965,11337,11552,11964,12274
Kota Gunungsitoli,6963,7300,7639,8058,7980,8134,8434,8635,9056,9477
SUMATERA BARAT,10126,10306,10638,10925,10733,10790,11130,11380,11718,12041
Kepulauan Mentawai,5771,6010,6211,6429,6281,6321,6567,6891,7192,7451
Pesisir Selatan,8605,8819,9089,9444,9212,9270,9686,9953,10211,10633
Solok,9664,9743,10035,10309,10171,10215,10539,10717,10988,11318
Sijunjung,9895,10093,10277,10395,10361,10389,10582,11018,11395,11829
Tanah Datar,10296,10311,10417,10709,10588,10616,10695,10905,11223,11552
Padang Pariaman,10455,10579,10919,11158,10998,11050,11159,11432,11756,12089
Agam,9111,9388,9489,9780,9651,9662,10171,10402,10686,11034
Lima Puluh Kota,8936,9151,9500,9842,9596,9668,10035,10285,10648,10917
Pasaman,7678,7882,8238,8599,8425,8440,8619,8908,9194,9418
Solok Selatan,9802,9891,10199,10505,10325,10367,10560,10884,11240,11542
Dharmasraya,10781,10851,11189,11431,11273,11324,11650,11901,12254,12604
Pasaman Barat,8393,8704,8979,9180,9047,9089,9381,9538,9888,10231
Kota Padang,13721,13957,14312,14728,14481,14540,14889,15089,15458,15957
Kota Solok,11519,11673,11968,12337,12117,12168,12515,12709,12995,13504
Kota Sawah Lunto,9051,9343,9765,10238,10182,10195,10537,10829,11187,11501
Kota Padang Panjang,9804,10240,10440,11013,10734,10754,11153,11310,11840,12148
Kota Bukittinggi,12475,12816,13035,13586,13282,13331,13633,13859,14297,14579
Kota Payakumbuh,12705,12858,13114,13464,13281,13317,13687,13978,14260,14536
Kota Pariaman,12141,12425,12611,12958,12796,12818,13150,13355,13784,14261
RIAU,10465,10677,10968,11255,10675,10736,11158,11448,11857,12233
Kuantan Singingi,9892,10274,10476,10820,10243,10309,10647,10945,11182,11400
Indragiri Hulu,10068,10223,10481,10738,10202,10260,10472,10957,11333,11495
Indragiri Hilir,9911,10041,10254,10382,9954,9945,10234,10659,11050,11248
