Provinsi,PPK (2016),PPK (2017),PPK (2018),PPK (2019),PPK (2020),PPK (2021),PPK (2022),PPK (2023),PPK (2024),PPK (2025)
ACEH,8768.0,8957.0,9186.0,9603.0,9492.0,9572.0,9963.0,10334.0,10811,11191
SUMATERA UTARA,9744.0,10036.0,10391.0,10649.0,10420.0,10499.0,10848.0,11049.0,11460,11898
SUMATERA BARAT,10126.0,10306.0,10638.0,10925.0,10733.0,10790.0,11130.0,11380.0,11718,12041
RIAU,10465.0,10677.0,10968.0,11255.0,10675.0,10736.0,11158.0,11448.0,11857,12233
JAMBI,9795.0,9880.0,10357.0,10592.0,10392.0,10588.0,10871.0,11160.0,11621,12018
SUMATERA SELATAN,9935.0,10220.0,10652.0,10937.0,10652.0,10662.0,11109.0,11472.0,12015,12416
BENGKULU,9492.0,9778.0,10162.0,10409.0,10380.0,10487.0,10840.0,11172.0,11733,12197
LAMPUNG,9156.0,9413.0,9858.0,10114.0,9982.0,10038.0,10336.0,10769.0,11258,11683
KEP. BANGKA BELITUNG,11960.0,12066.0,12666.0,12959.0,12794.0,12819.0,13358.0,13589.0,13667,13837
KEPULAUAN RIAU,13359.0,13566.0,13976.0,14466.0,14209.0,14122.0,14469.0,14998.0,15573,15881
DKI JAKARTA,17468.0,17707.0,18128.0,18527.0,18227.0,18520.0,18927.0,19373.0,19953,20676
JAWA BARAT,10035.0,10285.0,10790.0,11152.0,10845.0,10934.0,11277.0,11695.0,12157,12447
JAWA TENGAH,10153.0,10377.0,10777.0,11102.0,10930.0,11034.0,11377.0,11835.0,12276,12746
D I YOGYAKARTA,13229.0,13521.0,13946.0,14394.0,14015.0,14111.0,14482.0,14924.0,15361,15855
JAWA TIMUR,10715.0,10973.0,11380.0,11739.0,11601.0,11707.0,11992.0,12421.0,12852,13509
BANTEN,11469.0,11659.0,11994.0,12267.0,11964.0,12033.0,12216.0,12601.0,13097,13498
BALI,13279.0,13573.0,13886.0,14146.0,13929.0,13820.0,13942.0,14382.0,14920,15383
NUSA TENGGARA BARAT,9575.0,9877.0,10284.0,10640.0,10351.0,10377.0,10681.0,11095.0,11606,11922
NUSA TENGGARA TIMUR,7122.0,7350.0,7566.0,7769.0,7598.0,7554.0,7877.0,8248.0,8534,8735
KALIMANTAN BARAT,8348.0,8472.0,8860.0,9055.0,8930.0,8974.0,9355.0,9810.0,10321,10689
KALIMANTAN TENGAH,10155.0,10492.0,10931.0,11236.0,11154.0,11182.0,11458.0,11878.0,12303,12612
KALIMANTAN SELATAN,11307.0,11600.0,12062.0,12253.0,12032.0,12143.0,12469.0,12953.0,13399,13757
KALIMANTAN TIMUR,11355.0,11612.0,11917.0,12359.0,11728.0,12116.0,12641.0,13202.0,13793,14254
KALIMANTAN UTARA,8434.0,8643.0,8943.0,9343.0,8756.0,9075.0,9350.0,9734.0,10197,10568
SULAWESI UTARA,10148.0,10422.0,10731.0,11115.0,10791.0,10882.0,11179.0,11497.0,11998,12450
SULAWESI TENGAH,9034.0,9311.0,9488.0,9604.0,9335.0,9378.0,9696.0,10149.0,10536,10934
SULAWESI SELATAN,10281.0,10489.0,10814.0,11118.0,11079.0,11184.0,11430.0,11841.0,12275,12773
SULAWESI TENGGARA,8871.0,9094.0,9262.0,9436.0,9331.0,9381.0,9708.0,10117.0,10606,10992
GORONTALO,9175.0,9532.0,9839.0,10075.0,10020.0,10157.0,10687.0,11069.0,11539,11937
SULAWESI BARAT,8450.0,8736.0,9051.0,9235.0,9168.0,9153.0,9358.0,9718.0,10208,10516
MALUKU,8215.0,8433.0,8721.0,8887.0,8732.0,8770.0,8876.0,9278.0,9684,9900
MALUKU UTARA,7545.0,7792.0,7980.0,8308.0,8032.0,8140.0,8398.0,8834.0,9320,9613
PAPUA BARAT,7175.0,7493.0,7816.0,8125.0,8086.0,7929.0,8101.0,8404.0,8805,9115
PAPUA BARAT DAYA,6985.0,7218.0,7450.0,7682.0,7915.0,8147.0,8379.0,8611.0,8733,9076
PAPUA,6637.0,6996.0,7159.0,7336.0,6954.0,6955.0,7146.0,7562.0,11037,11342
PAPUA SELATAN,7892.0,8125.0,8357.0,8589.0,8822.0,9054.0,9286.0,9518.0,9756,9983
PAPUA TENGAH,5945.0,6178.0,6410.0,6642.0,6875.0,7107.0,7339.0,7571.0,7809,8036
PAPUA PEGUNUNGAN,3770.0,4003.0,4235.0,4467.0,4700.0,4932.0,5164.0,5396.0,5707,5861
