Provinsi/Kabupaten/Kota/Indonesia,,,,,,,,,,
,,,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ACEH,8768,8957,9186,9603,9492,9572,9963,10334,10811,11191
SUMATERA UTARA,9744,10036,10391,10649,10420,10499,10848,11049,11460,11898
SUMATERA BARAT,10126,10306,10638,10925,10733,10790,11130,11380,11718,12041
RIAU,10465,10677,10968,11255,10675,10736,11158,11448,11857,12233
JAMBI,9795,9880,10357,10592,10392,10588,10871,11160,11621,12018
SUMATERA SELATAN,9935,10220,10652,10937,10652,10662,11109,11472,12015,12416
BENGKULU,9492,9778,10162,10409,10380,10487,10840,11172,11733,12197
LAMPUNG,9156,9413,9858,10114,9982,10038,10336,10769,11258,11683
KEP. BANGKA BELITUNG,11960,12066,12666,12959,12794,12819,13358,13589,13667,13837
KEPULAUAN RIAU,13359,13566,13976,14466,14209,14122,14469,14998,15573,15881
DKI JAKARTA,17468,17707,18128,18527,18227,18520,18927,19373,19953,20676
JAWA BARAT,10035,10285,10790,11152,10845,10934,11277,11695,12157,12447
JAWA TENGAH,10153,10377,10777,11102,10930,11034,11377,11835,12276,12746
D I YOGYAKARTA,13229,13521,13946,14394,14015,14111,14482,14924,15361,15855
JAWA TIMUR,10715,10973,11380,11739,11601,11707,11992,12421,12852,13509
BANTEN,11469,11659,11994,12267,11964,12033,12216,12601,13097,13498
BALI,13279,13573,13886,14146,13929,13820,13942,14382,14920,15383
NUSA TENGGARA BARAT,9575,9877,10284,10640,10351,10377,10681,11095,11606,11922
NUSA TENGGARA TIMUR,7122,7350,7566,7769,7598,7554,7877,8248,8534,8735
KALIMANTAN BARAT,8348,8472,8860,9055,8930,8974,9355,9810,10321,10689
KALIMANTAN TENGAH,10155,10492,10931,11236,11154,11182,11458,11878,12303,12612
KALIMANTAN SELATAN,11307,11600,12062,12253,12032,12143,12469,12953,13399,13757
KALIMANTAN TIMUR,11355,11612,11917,12359,11728,12116,12641,13202,13793,14254
KALIMANTAN UTARA,8434,8643,8943,9343,8756,9075,9350,9734,10197,10568
SULAWESI UTARA,10148,10422,10731,11115,10791,10882,11179,11497,11998,12450
SULAWESI TENGAH,9034,9311,9488,9604,9335,9378,9696,10149,10536,10934
SULAWESI SELATAN,10281,10489,10814,11118,11079,11184,11430,11841,12275,12773
SULAWESI TENGGARA,8871,9094,9262,9436,9331,9381,9708,10117,10606,10992
GORONTALO,9175,9532,9839,10075,10020,10157,10687,11069,11539,11937
SULAWESI BARAT,8450,8736,9051,9235,9168,9153,9358,9718,10208,10516
MALUKU,8215,8433,8721,8887,8732,8770,8876,9278,9684,9900
MALUKU UTARA,7545,7792,7980,8308,8032,8140,8398,8834,9320,9613
PAPUA BARAT,7175,7493,7816,8125,8086,7929,8101,8404,8805,9115
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,8733,9076
PAPUA,6637,6996,7159,7336,6954,6955,7146,7562,11037,11342
PAPUA SELATAN,-,-,-,-,-,-,-,-,9756,9983
PAPUA TENGAH,-,-,-,-,-,-,-,-,7809,8036
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,5707,5861
