Provinsi,PSN (2020),PSN (2021),PSN (2022),PSN (2023)
Aceh,13.4,12.1,8.0,7.5
Bali,9.4,5.0,4.5,3.2
Banten,4.9,6.7,6.8,4.0
Bengkulu,8.3,6.3,4.8,4.5
Daerah Istimewa Yogyakarta,11.9,10.6,9.2,8.9
Daerah Khusus Jakarta,0.1,3.2,1.2,1.0
Gorontalo,11.0,8.5,7.5,5.2
Jambi,7.6,3.0,4.1,3.7
Jawa Barat,9.0,8.3,6.9,6.3
Jawa Tengah,13.1,9.0,9.4,9.1
Jawa Timur,11.5,10.7,9.5,6.9
Kalimantan Barat,27.4,21.0,16.3,17.5
Kalimantan Selatan,13.1,10.4,9.3,8.7
Kalimantan Tengah,22.2,10.8,10.1,10.1
Kalimantan Timur,14.5,11.8,13.5,10.2
Kalimantan Utara,28.7,18.5,16.4,8.9
Kepulauan Bangka Belitung,3.3,5.9,3.9,3.2
Kepulauan Riau,9.2,7.6,4.9,3.8
Lampung,5.3,6.1,4.5,3.9
Maluku,8.3,6.8,9.9,5.2
Maluku Utara,9.3,13.0,12.3,6.8
Nusa Tenggara Barat,20.2,21.7,18.5,15.8
Nusa Tenggara Timur,26.3,22.6,22.4,17.4
Papua,4.7,11.4,9.1,10.9
Papua Barat,12.0,12.8,11.9,10.9
Papua Barat Daya,17.7,13.8,13.2,7.0
Papua Pegunungan,5.9,7.5,2.3,1.4
Papua Selatan,11.3,13.1,16.5,13.7
Papua Tengah,16.6,6.6,13.4,9.7
Riau,7.7,6.0,4.2,3.0
Sulawesi Barat,22.7,19.3,23.1,23.2
Sulawesi Selatan,11.9,10.4,9.0,8.2
Sulawesi Tengah,13.7,13.2,13.1,11.3
Sulawesi Tenggara,16.7,18.5,11.0,10.3
Sulawesi Utara,5.3,3.0,2.3,2.4
Sumatera Barat,17.5,15.1,10.3,8.8
Sumatera Selatan,2.3,4.4,3.1,1.8
Sumatera Utara,6.8,6.7,5.5,4.5
