Provinsi,rata_rata_lama_sekolah (2010),rata_rata_lama_sekolah (2011),rata_rata_lama_sekolah (2012),rata_rata_lama_sekolah (2013),rata_rata_lama_sekolah (2014),rata_rata_lama_sekolah (2015),rata_rata_lama_sekolah (2016),rata_rata_lama_sekolah (2017),rata_rata_lama_sekolah (2018),rata_rata_lama_sekolah (2019),rata_rata_lama_sekolah (2020),rata_rata_lama_sekolah (2021),rata_rata_lama_sekolah (2022),rata_rata_lama_sekolah (2023),rata_rata_lama_sekolah (2024)
ACEH,8.28,8.32,8.36,8.44,8.71,8.77,8.86,8.98,9.09,9.18,9.33,9.37,9.44,9.55,9.64
BALI,7.74,7.77,8.05,8.1,8.11,8.26,8.36,8.55,8.65,8.84,8.95,9.06,9.39,9.45,9.54
BANTEN,7.92,7.95,8.06,8.17,8.19,8.27,8.37,8.53,8.62,8.74,8.89,8.93,9.13,9.15,9.23
BENGKULU,7.85,7.93,8.01,8.09,8.28,8.29,8.37,8.47,8.61,8.73,8.84,8.87,8.91,9.03,9.04
DI YOGYAKARTA,8.51,8.53,8.63,8.72,8.84,9.0,9.12,9.19,9.32,9.38,9.55,9.64,9.75,9.83,9.92
DKI JAKARTA,10.37,10.4,10.43,10.47,10.54,10.7,10.88,11.02,11.05,11.06,11.13,11.17,11.31,11.45,11.49
GORONTALO,6.85,6.89,6.92,6.96,6.97,7.05,7.12,7.28,7.46,7.69,7.82,7.9,8.02,8.1,8.29
JAMBI,7.34,7.48,7.69,7.8,7.92,7.96,8.07,8.15,8.23,8.45,8.55,8.6,8.68,8.81,8.9
JAWA BARAT,7.4,7.46,7.52,7.58,7.71,7.86,7.95,8.14,8.15,8.37,8.55,8.61,8.78,8.83,8.87
JAWA TENGAH,6.71,6.74,6.77,6.8,6.93,7.03,7.15,7.27,7.35,7.53,7.69,7.75,7.93,8.01,8.02
JAWA TIMUR,6.73,6.79,6.85,6.9,7.05,7.14,7.23,7.34,7.39,7.59,7.78,7.88,8.03,8.11,8.28
KALIMANTAN BARAT,6.27,6.32,6.62,6.69,6.83,6.93,6.98,7.05,7.12,7.31,7.37,7.45,7.59,7.71,7.78
KALIMANTAN SELATAN,7.25,7.37,7.48,7.59,7.6,7.76,7.89,7.99,8.0,8.2,8.29,8.34,8.46,8.55,8.62
KALIMANTAN TENGAH,7.62,7.68,7.73,7.79,7.82,8.03,8.13,8.29,8.37,8.51,8.59,8.64,8.65,8.73,8.81
KALIMANTAN TIMUR,8.56,8.79,8.83,8.87,9.04,9.15,9.24,9.36,9.48,9.7,9.77,9.84,9.92,9.99,10.02
KALIMANTAN UTARA,7.81,7.92,8.03,8.1,8.35,8.36,8.49,8.62,8.87,8.94,9.0,9.11,9.27,9.34,9.35
KEPULAUAN BANGKA BELITUNG,7.07,7.19,7.25,7.32,7.35,7.46,7.62,7.78,7.84,7.98,8.06,8.08,8.11,8.25,8.33
KEPULAUAN RIAU,9.38,9.46,9.58,9.63,9.64,9.65,9.67,9.79,9.81,9.99,10.12,10.18,10.37,10.41,10.5
LAMPUNG,7.26,7.28,7.3,7.32,7.48,7.56,7.63,7.79,7.82,7.92,8.05,8.08,8.18,8.29,8.36
MALUKU,8.64,8.72,8.8,8.81,9.15,9.16,9.27,9.38,9.58,9.81,9.93,10.03,10.19,10.2,10.26
MALUKU UTARA,7.91,7.98,8.04,8.27,8.34,8.37,8.52,8.61,8.72,9.0,9.04,9.09,9.24,9.26,9.37
NUSA TENGGARA BARAT,5.73,6.07,6.33,6.54,6.67,6.71,6.79,6.9,7.03,7.27,7.31,7.38,7.61,7.74,7.87
NUSA TENGGARA TIMUR,6.5,6.6,6.71,6.76,6.85,6.93,7.02,7.15,7.3,7.55,7.63,7.69,7.7,7.82,8.02
PAPUA,5.59,5.6,5.73,5.74,5.76,5.99,6.15,6.27,6.52,6.65,6.69,6.76,7.02,7.15,9.82
PAPUA BARAT,6.77,6.82,6.87,6.91,6.96,7.01,7.06,7.15,7.27,7.44,7.6,7.69,7.84,7.93,7.86
PAPUA BARAT DAYA,6.66,6.78,6.91,7.03,7.15,7.28,7.4,7.52,7.65,7.77,7.9,8.02,8.14,8.27,8.39
PAPUA PEGUNUNGAN,2.48,2.6,2.73,2.85,2.97,3.1,3.22,3.34,3.47,3.59,3.72,3.84,3.96,4.09,4.21
PAPUA SELATAN,6.65,6.77,6.9,7.02,7.14,7.27,7.39,7.51,7.64,7.76,7.89,8.01,8.13,8.26,8.38
PAPUA TENGAH,4.39,4.51,4.64,4.76,4.88,5.01,5.13,5.25,5.38,5.5,5.63,5.75,5.87,6.0,6.12
RIAU,8.25,8.29,8.34,8.38,8.47,8.49,8.59,8.76,8.92,9.03,9.14,9.19,9.22,9.32,9.43
SULAWESI BARAT,6.63,6.65,6.76,6.87,6.88,6.94,7.14,7.31,7.5,7.73,7.89,7.96,8.08,8.13,8.15
SULAWESI SELATAN,7.29,7.33,7.37,7.45,7.49,7.64,7.75,7.95,8.02,8.26,8.38,8.46,8.63,8.76,8.86
SULAWESI TENGAH,7.65,7.69,7.73,7.82,7.89,7.97,8.12,8.29,8.52,8.75,8.83,8.89,8.89,8.96,9.04
SULAWESI TENGGARA,7.57,7.67,7.76,7.93,8.02,8.18,8.32,8.46,8.69,8.91,9.04,9.13,9.25,9.31,9.42
SULAWESI UTARA,8.66,8.68,8.71,8.79,8.86,8.88,8.96,9.14,9.24,9.43,9.49,9.62,9.68,9.77,9.84
SUMATERA BARAT,8.13,8.2,8.27,8.28,8.29,8.42,8.59,8.72,8.76,8.92,8.99,9.07,9.18,9.28,9.44
SUMATERA SELATAN,7.34,7.42,7.5,7.53,7.66,7.77,7.83,7.99,8.0,8.18,8.24,8.3,8.37,8.5,8.57
SUMATERA UTARA,8.51,8.61,8.72,8.79,8.93,9.03,9.12,9.25,9.34,9.45,9.54,9.58,9.71,9.82,9.93
