Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,IPM_Laki_Laki,IPM_Perempuan,PPK,PSN (Stunting),RLS
2003,Aceh,95.36,78.74,61.63,,,,,
2003,Bali,91.58,68.63,53.36,,,,,
2003,Banten,93.77,62.28,36.41,,,,,
2003,Bengkulu,91.99,60.44,42.54,,,,,
2003,Daerah Istimewa Yogyakarta,91.98,79.06,59.77,,,,,
2003,Daerah Khusus Jakarta,91.61,77.58,63.26,,,,,
2003,Gorontalo,87.33,47.86,24.58,,,,,
2003,Jambi,93.78,61.3,40.68,,,,,
2003,Jawa Barat,92.45,61.02,34.65,,,,,
2003,Jawa Tengah,93.7,66.61,38.29,,,,,
2003,Jawa Timur,93.48,64.47,40.83,,,,,
2003,Kalimantan Barat,88.89,50.88,29.11,,,,,
2003,Kalimantan Selatan,92.46,56.33,30.53,,,,,
2003,Kalimantan Tengah,94.75,58.64,37.23,,,,,
2003,Kalimantan Timur,91.33,67.98,49.83,,,,,
2003,Kalimantan Utara,90.37,61.04,46.16,,,,,
2003,Kepulauan Bangka Belitung,91.69,50.61,33.8,,,,,
2003,Kepulauan Riau,91.52,63.1,49.57,,,,,
2003,Lampung,92.06,63.24,35.81,,,,,
2003,Maluku,91.03,62.59,43.53,,,,,
2003,Maluku Utara,94.06,62.15,38.7,,,,,
2003,Nusa Tenggara Barat,92.48,57.19,33.45,,,,,
2003,Nusa Tenggara Timur,88.27,39.1,23.57,,,,,
2003,Papua,83.86,47.81,30.11,,,,,
2003,Papua Barat,87.32,51.79,30.66,,,,,
2003,Papua Barat Daya,87.53,54.68,31.74,,,,,
2003,Papua Pegunungan,68.17,35.71,12.9,,,,,
2003,Papua Selatan,80.96,37.27,18.51,,,,,
2003,Papua Tengah,65.87,33.88,8.62,,,,,
2003,Riau,94.13,67.19,47.25,,,,,
2003,Sulawesi Barat,89.31,55.04,33.92,,,,,
2003,Sulawesi Selatan,89.21,54.04,37.18,,,,,
2003,Sulawesi Tengah,90.85,54.68,33.25,,,,,
2003,Sulawesi Tenggara,91.19,63.39,36.59,,,,,
2003,Sulawesi Utara,89.18,68.33,44.42,,,,,
2003,Sumatera Barat,92.59,66.0,49.88,,,,,
2003,Sumatera Selatan,92.36,59.41,35.73,,,,,
2003,Sumatera Utara,94.62,72.95,53.03,,,,,
2004,Aceh,95.88,79.98,62.04,,,,,
2004,Bali,93.48,69.37,54.11,,,,,
2004,Banten,94.12,63.75,39.68,,,,,
2004,Bengkulu,94.72,67.02,49.01,,,,,
2004,Daerah Istimewa Yogyakarta,92.55,77.37,61.51,,,,,
2004,Daerah Khusus Jakarta,91.87,76.08,61.25,,,,,
2004,Gorontalo,88.85,49.27,28.12,,,,,
2004,Jambi,93.46,65.69,42.24,,,,,
2004,Jawa Barat,93.41,61.74,37.18,,,,,
2004,Jawa Tengah,93.32,67.82,41.67,,,,,
2004,Jawa Timur,93.71,67.1,41.94,,,,,
2004,Kalimantan Barat,93.11,53.28,31.51,,,,,
2004,Kalimantan Selatan,93.19,59.27,35.57,,,,,
2004,Kalimantan Tengah,95.1,65.15,38.82,,,,,
2004,Kalimantan Timur,92.87,70.2,52.42,,,,,
2004,Kalimantan Utara,90.67,61.97,47.39,,,,,
2004,Kepulauan Bangka Belitung,90.02,56.38,38.15,,,,,
2004,Kepulauan Riau,91.82,64.03,50.8,,,,,
2004,Lampung,92.73,63.65,35.66,,,,,
2004,Maluku,90.92,68.06,56.39,,,,,
2004,Maluku Utara,93.8,64.17,44.08,,,,,
2004,Nusa Tenggara Barat,92.42,61.7,38.63,,,,,
2004,Nusa Tenggara Timur,90.79,43.26,28.27,,,,,
2004,Papua,85.21,47.78,30.39,,,,,
2004,Papua Barat,87.62,52.72,31.89,,,,,
2004,Papua Barat Daya,87.83,55.61,32.97,,,,,
2004,Papua Pegunungan,68.47,36.64,14.13,,,,,
2004,Papua Selatan,81.26,38.2,19.74,,,,,
2004,Papua Tengah,66.17,34.81,9.85,,,,,
2004,Riau,94.64,69.65,47.73,,,,,
2004,Sulawesi Barat,89.61,55.97,35.15,,,,,
2004,Sulawesi Selatan,90.64,57.41,38.39,,,,,
2004,Sulawesi Tengah,91.44,59.45,36.33,,,,,
2004,Sulawesi Tenggara,90.18,64.02,40.17,,,,,
2004,Sulawesi Utara,88.26,67.87,50.71,,,,,
2004,Sumatera Barat,93.64,69.55,53.13,,,,,
2004,Sumatera Selatan,93.13,64.81,39.48,,,,,
2004,Sumatera Utara,93.61,73.02,56.65,,,,,
2005,Aceh,90.25,62.78,45.84,,,,,
2005,Bali,93.26,70.03,53.04,,,,,
2005,Banten,93.24,61.19,44.37,,,,,
2005,Bengkulu,92.64,61.87,45.41,,,,,
2005,Daerah Istimewa Yogyakarta,95.46,83.27,62.45,,,,,
2005,Daerah Khusus Jakarta,92.4,74.95,58.62,,,,,
2005,Gorontalo,88.22,46.3,32.44,,,,,
2005,Jambi,93.52,64.44,39.54,,,,,
2005,Jawa Barat,91.86,59.99,36.89,,,,,
2005,Jawa Tengah,94.47,69.99,43.3,,,,,
2005,Jawa Timur,94.91,68.85,44.86,,,,,
2005,Kalimantan Barat,92.49,53.31,32.25,,,,,
2005,Kalimantan Selatan,95.24,56.89,33.54,,,,,
2005,Kalimantan Tengah,95.14,71.49,39.49,,,,,
2005,Kalimantan Timur,92.62,69.8,49.08,,,,,
2005,Kalimantan Utara,90.98,62.9,48.61,,,,,
2005,Kepulauan Bangka Belitung,92.0,61.61,39.57,,,,,
2005,Kepulauan Riau,91.65,66.48,51.06,,,,,
2005,Lampung,93.54,64.91,39.64,,,,,
2005,Maluku,91.49,70.43,54.37,,,,,
2005,Maluku Utara,93.44,61.0,52.65,,,,,
2005,Nusa Tenggara Barat,92.99,67.53,41.25,,,,,
2005,Nusa Tenggara Timur,92.0,43.0,27.77,,,,,
2005,Papua,81.05,44.95,40.49,,,,,
2005,Papua Barat,87.93,53.65,33.11,,,,,
2005,Papua Barat Daya,88.14,56.54,34.19,,,,,
2005,Papua Pegunungan,68.78,37.57,15.35,,,,,
2005,Papua Selatan,81.57,39.13,20.96,,,,,
2005,Papua Tengah,66.48,35.74,11.07,,,,,
2005,Riau,94.95,72.5,50.51,,,,,
2005,Sulawesi Barat,89.92,56.9,36.37,,,,,
2005,Sulawesi Selatan,92.04,59.1,39.95,,,,,
2005,Sulawesi Tengah,92.1,60.89,35.45,,,,,
2005,Sulawesi Tenggara,92.64,66.04,44.04,,,,,
2005,Sulawesi Utara,90.64,65.86,50.02,,,,,
2005,Sumatera Barat,93.65,68.77,53.36,,,,,
2005,Sumatera Selatan,94.14,64.94,42.54,,,,,
2005,Sumatera Utara,93.98,72.79,53.5,,,,,
2006,Aceh,95.48,78.39,57.07,,,,,
2006,Bali,93.33,70.15,53.54,,,,,
2006,Banten,94.83,66.56,41.44,,,,,
2006,Bengkulu,93.89,66.73,47.1,,,,,
2006,Daerah Istimewa Yogyakarta,94.38,72.3,55.85,,,,,
2006,Daerah Khusus Jakarta,90.78,71.41,52.82,,,,,
2006,Gorontalo,90.48,52.31,34.47,,,,,
2006,Jambi,94.36,65.32,40.95,,,,,
2006,Jawa Barat,94.21,62.13,37.84,,,,,
2006,Jawa Tengah,94.05,67.67,42.36,,,,,
2006,Jawa Timur,94.2,70.28,46.35,,,,,
2006,Kalimantan Barat,93.82,60.92,34.77,,,,,
2006,Kalimantan Selatan,93.28,62.12,37.23,,,,,
2006,Kalimantan Tengah,95.97,67.69,42.66,,,,,
2006,Kalimantan Timur,92.86,64.0,50.41,,,,,
2006,Kalimantan Utara,91.28,63.83,49.84,,,,,
2006,Kepulauan Bangka Belitung,91.51,55.3,34.84,,,,,
2006,Kepulauan Riau,93.66,72.01,52.13,,,,,
2006,Lampung,93.94,66.65,39.87,,,,,
2006,Maluku,92.24,76.86,55.66,,,,,
2006,Maluku Utara,93.1,65.31,48.66,,,,,
2006,Nusa Tenggara Barat,94.5,69.62,43.58,,,,,
2006,Nusa Tenggara Timur,91.58,47.23,30.97,,,,,
2006,Papua,78.11,47.36,33.36,,,,,
2006,Papua Barat,88.16,53.94,35.31,,,,,
2006,Papua Barat Daya,88.44,57.47,35.42,,,,,
2006,Papua Pegunungan,69.08,38.5,16.58,,,,,
2006,Papua Selatan,81.87,40.06,22.19,,,,,
2006,Papua Tengah,66.78,36.67,12.3,,,,,
2006,Riau,94.72,72.93,49.43,,,,,
2006,Sulawesi Barat,91.67,55.19,32.35,,,,,
2006,Sulawesi Selatan,91.08,60.27,40.86,,,,,
2006,Sulawesi Tengah,92.87,62.97,39.51,,,,,
2006,Sulawesi Tenggara,92.26,72.42,47.28,,,,,
2006,Sulawesi Utara,90.4,66.03,48.78,,,,,
2006,Sumatera Barat,94.17,67.77,51.05,,,,,
2006,Sumatera Selatan,93.01,68.01,43.15,,,,,
2006,Sumatera Utara,93.96,73.08,54.14,,,,,
2007,Aceh,95.75,76.44,61.95,,,,,
2007,Bali,94.49,66.69,55.81,,,,,
2007,Banten,93.03,58.96,38.97,,,,,
2007,Bengkulu,94.3,68.92,48.67,,,,,
2007,Daerah Istimewa Yogyakarta,93.53,74.94,57.88,,,,,
2007,Daerah Khusus Jakarta,93.27,71.36,49.76,,,,,
2007,Gorontalo,90.18,53.15,37.87,,,,,
2007,Jambi,93.88,65.88,44.41,,,,,
2007,Jawa Barat,94.17,67.27,38.29,,,,,
2007,Jawa Tengah,94.78,69.19,44.11,,,,,
2007,Jawa Timur,94.5,69.21,47.97,,,,,
2007,Kalimantan Barat,93.48,54.77,36.16,,,,,
2007,Kalimantan Selatan,94.0,59.65,35.73,,,,,
2007,Kalimantan Tengah,95.48,60.12,39.28,,,,,
2007,Kalimantan Timur,93.34,71.24,52.88,,,,,
2007,Kalimantan Utara,91.58,64.76,51.06,,,,,
2007,Kepulauan Bangka Belitung,91.59,52.58,37.53,,,,,
2007,Kepulauan Riau,93.5,71.69,52.63,,,,,
2007,Lampung,94.04,68.47,40.72,,,,,
2007,Maluku,93.45,70.08,59.38,,,,,
2007,Maluku Utara,91.95,64.67,51.39,,,,,
2007,Nusa Tenggara Barat,94.2,70.79,48.26,,,,,
2007,Nusa Tenggara Timur,91.61,49.75,33.75,,,,,
2007,Papua,80.94,48.69,35.78,,,,,
2007,Papua Barat,90.67,48.76,43.16,,,,,
2007,Papua Barat Daya,88.74,58.4,36.64,,,,,
2007,Papua Pegunungan,69.38,39.43,17.8,,,,,
2007,Papua Selatan,82.17,40.99,23.41,,,,,
2007,Papua Tengah,67.08,37.6,13.52,,,,,
2007,Riau,94.8,70.0,51.54,,,,,
2007,Sulawesi Barat,92.17,53.39,33.28,,,,,
2007,Sulawesi Selatan,92.19,60.8,41.91,,,,,
2007,Sulawesi Tengah,92.04,59.36,39.27,,,,,
2007,Sulawesi Tenggara,93.64,65.89,47.32,,,,,
2007,Sulawesi Utara,90.75,66.25,50.45,,,,,
2007,Sumatera Barat,94.45,67.33,54.23,,,,,
2007,Sumatera Selatan,92.81,65.15,42.72,,,,,
2007,Sumatera Utara,93.96,73.61,54.95,,,,,
2008,Aceh,96.05,76.58,62.19,,,,,
2008,Bali,94.93,67.34,55.65,,,,,
2008,Banten,93.39,59.5,38.83,,,,,
2008,Bengkulu,94.4,69.7,48.67,,,,,
2008,Daerah Istimewa Yogyakarta,94.32,75.31,58.96,,,,,
2008,Daerah Khusus Jakarta,93.81,71.5,50.05,,,,,
2008,Gorontalo,90.52,52.9,38.26,,,,,
2008,Jambi,94.31,66.31,44.81,,,,,
2008,Jawa Barat,94.19,68.2,38.31,,,,,
2008,Jawa Tengah,95.14,69.68,44.39,,,,,
2008,Jawa Timur,94.57,69.55,47.93,,,,,
2008,Kalimantan Barat,93.96,55.55,36.65,,,,,
2008,Kalimantan Selatan,94.17,60.56,35.78,,,,,
2008,Kalimantan Tengah,95.71,60.46,39.13,,,,,
2008,Kalimantan Timur,93.59,71.43,53.19,,,,,
2008,Kalimantan Utara,91.89,65.69,52.29,,,,,
2008,Kepulauan Bangka Belitung,91.77,53.11,37.72,,,,,
2008,Kepulauan Riau,93.79,72.18,53.4,,,,,
2008,Lampung,94.28,68.94,41.05,,,,,
2008,Maluku,93.87,70.58,59.38,,,,,
2008,Maluku Utara,92.47,65.13,51.73,,,,,
2008,Nusa Tenggara Barat,94.2,71.44,48.38,,,,,
2008,Nusa Tenggara Timur,91.72,49.87,34.67,,,,,
2008,Papua,81.76,48.95,35.79,,,,,
2008,Papua Barat,90.76,48.98,43.74,,,,,
2008,Papua Barat Daya,89.05,59.33,37.87,,,,,
2008,Papua Pegunungan,69.69,40.36,19.03,,,,,
2008,Papua Selatan,82.48,41.92,24.64,,,,,
2008,Papua Tengah,67.39,38.53,14.75,,,,,
2008,Riau,95.04,70.66,51.84,,,,,
2008,Sulawesi Barat,92.75,53.24,34.21,,,,,
2008,Sulawesi Selatan,92.17,61.06,41.99,,,,,
2008,Sulawesi Tengah,92.82,59.73,39.93,,,,,
2008,Sulawesi Tenggara,94.24,66.41,47.98,,,,,
2008,Sulawesi Utara,91.17,66.58,50.45,,,,,
2008,Sumatera Barat,94.66,67.63,54.68,,,,,
2008,Sumatera Selatan,92.97,65.87,43.05,,,,,
2008,Sumatera Utara,94.26,74.17,55.16,,,,,
2009,Aceh,96.95,77.4,62.12,,,,,
2009,Bali,94.99,67.38,56.48,,,,,
2009,Banten,94.07,59.69,38.77,,,,,
2009,Bengkulu,94.98,69.84,48.99,,,,,
2009,Daerah Istimewa Yogyakarta,94.38,75.34,58.69,,,,,
2009,Daerah Khusus Jakarta,94.07,72.02,50.43,,,,,
2009,Gorontalo,90.4,53.05,38.47,,,,,
2009,Jambi,95.05,66.42,44.71,,,,,
2009,Jawa Barat,94.56,67.91,38.59,,,,,
2009,Jawa Tengah,95.63,69.67,44.53,,,,,
2009,Jawa Timur,95.27,69.9,48.26,,,,,
2009,Kalimantan Barat,93.96,55.45,36.4,,,,,
2009,Kalimantan Selatan,94.49,60.56,35.71,,,,,
2009,Kalimantan Tengah,96.14,60.59,39.27,,,,,
2009,Kalimantan Timur,93.74,72.06,53.1,,,,,
2009,Kalimantan Utara,92.19,66.62,53.52,,,,,
2009,Kepulauan Bangka Belitung,92.52,53.1,38.13,,,,,
2009,Kepulauan Riau,93.92,72.53,53.42,,,,,
2009,Lampung,94.79,69.17,41.43,,,,,
2009,Maluku,94.38,71.48,59.58,,,,,
2009,Maluku Utara,93.39,65.49,51.74,,,,,
2009,Nusa Tenggara Barat,94.75,71.32,48.51,,,,,
2009,Nusa Tenggara Timur,92.46,50.21,34.15,,,,,
2009,Papua,76.09,49.08,35.77,,,,,
2009,Papua Barat,91.25,49.03,43.55,,,,,
2009,Papua Barat Daya,89.35,60.26,39.1,,,,,
2009,Papua Pegunungan,69.99,41.29,20.26,,,,,
2009,Papua Selatan,82.78,42.85,25.87,,,,,
2009,Papua Tengah,67.69,39.46,15.98,,,,,
2009,Riau,95.52,70.57,51.78,,,,,
2009,Sulawesi Barat,92.77,53.35,33.41,,,,,
2009,Sulawesi Selatan,92.27,61.74,42.03,,,,,
2009,Sulawesi Tengah,92.98,60.22,39.52,,,,,
2009,Sulawesi Tenggara,94.71,66.45,47.9,,,,,
2009,Sulawesi Utara,91.9,66.69,50.46,,,,,
2009,Sumatera Barat,94.75,67.61,54.5,,,,,
2009,Sumatera Selatan,93.61,65.86,43.01,,,,,
2009,Sumatera Utara,94.46,74.21,55.3,,,,,
2010,Aceh,97.32,78.58,62.42,,,,,8.28
2010,Bali,95.53,67.83,57.14,,,,,7.74
2010,Banten,94.73,60.32,39.61,,,,,7.92
2010,Bengkulu,95.53,70.39,49.97,,,,,7.85
2010,Daerah Istimewa Yogyakarta,94.76,75.55,59.35,,,,,8.51
2010,Daerah Khusus Jakarta,94.59,71.96,50.57,,,,,10.37
2010,Gorontalo,90.81,53.83,39.15,,,,,6.85
2010,Jambi,95.61,66.91,45.31,,,,,7.34
2010,Jawa Barat,95.02,68.43,38.84,,,,,7.4
2010,Jawa Tengah,95.93,69.92,45.0,,,,,6.71
2010,Jawa Timur,95.63,70.17,48.6,,,,,6.73
2010,Kalimantan Barat,94.76,56.06,36.83,,,,,6.27
2010,Kalimantan Selatan,95.0,60.9,36.24,,,,,7.25
2010,Kalimantan Tengah,96.63,61.3,39.62,,,,,7.62
2010,Kalimantan Timur,94.14,72.56,53.66,,,,,8.56
2010,Kalimantan Utara,92.5,67.55,54.74,,,,,7.81
2010,Kepulauan Bangka Belitung,92.86,53.58,38.69,,,,,7.07
2010,Kepulauan Riau,94.56,72.92,54.74,,,,,9.38
2010,Lampung,95.2,69.61,41.97,,,,,7.26
2010,Maluku,95.0,71.88,59.8,,,,,8.64
2010,Maluku Utara,93.97,66.01,52.68,,,,,7.91
2010,Nusa Tenggara Barat,95.16,71.73,49.35,,,,,5.73
2010,Nusa Tenggara Timur,93.03,51.03,34.93,,,,,6.5
2010,Papua,76.22,49.62,36.06,,,,,5.59
2010,Papua Barat,92.29,50.1,44.75,,,,,6.77
2010,Papua Barat Daya,89.66,61.19,40.32,,,,,6.66
2010,Papua Pegunungan,70.3,42.22,21.48,,,,,2.48
2010,Papua Selatan,83.09,43.78,27.09,,,,,6.65
2010,Papua Tengah,68.0,40.39,17.2,,,,,4.39
2010,Riau,96.24,71.36,52.24,,,,,8.25
2010,Sulawesi Barat,93.94,54.24,34.03,,,,,6.63
2010,Sulawesi Selatan,92.86,62.32,42.75,,,,,7.29
2010,Sulawesi Tengah,93.54,60.83,40.23,,,,,7.65
2010,Sulawesi Tenggara,95.06,67.14,48.54,,,,,7.57
2010,Sulawesi Utara,92.25,67.07,50.7,,,,,8.66
2010,Sumatera Barat,95.51,68.22,55.06,,,,,8.13
2010,Sumatera Selatan,94.17,66.27,43.49,,,,,7.34
2010,Sumatera Utara,95.33,74.76,55.72,,,,,8.51
2011,Aceh,92.51,74.87,61.37,,,,,8.32
2011,Bali,90.08,69.53,59.48,,,,,7.77
2011,Banten,92.41,71.01,46.24,,,,,7.95
2011,Bengkulu,92.6,68.81,50.78,,,,,7.93
2011,Daerah Istimewa Yogyakarta,92.04,69.48,59.25,,,,,8.53
2011,Daerah Khusus Jakarta,90.26,69.66,49.91,,,,,10.4
2011,Gorontalo,90.03,60.43,44.46,,,,,6.89
2011,Jambi,92.36,67.43,49.46,,,,,7.48
2011,Jawa Barat,92.26,69.89,42.45,,,,,7.46
2011,Jawa Tengah,90.2,69.92,47.17,,,,,6.74
2011,Jawa Timur,91.9,71.78,49.29,,,,,6.79
2011,Kalimantan Barat,92.3,59.05,36.86,,,,,6.32
2011,Kalimantan Selatan,92.24,66.35,43.36,,,,,7.37
2011,Kalimantan Tengah,92.15,66.62,44.99,,,,,7.68
2011,Kalimantan Timur,92.29,72.5,55.52,,,,,8.79
2011,Kalimantan Utara,92.8,68.47,55.97,,,,,7.92
2011,Kepulauan Bangka Belitung,90.92,60.85,41.92,,,,,7.19
2011,Kepulauan Riau,92.24,74.29,56.85,,,,,9.46
2011,Lampung,91.63,67.06,46.05,,,,,7.28
2011,Maluku,88.38,63.19,52.78,,,,,8.72
2011,Maluku Utara,89.83,65.99,52.36,,,,,7.98
2011,Nusa Tenggara Barat,92.61,76.56,53.41,,,,,6.07
2011,Nusa Tenggara Timur,91.97,56.51,40.33,,,,,6.6
2011,Papua,69.6,44.44,30.82,,,,,5.6
2011,Papua Barat,87.77,56.68,48.33,,,,,6.82
2011,Papua Barat Daya,89.96,62.11,41.55,,,,,6.78
2011,Papua Pegunungan,70.6,43.14,22.71,,,,,2.6
2011,Papua Selatan,83.39,44.7,28.32,,,,,6.77
2011,Papua Tengah,68.3,41.31,18.43,,,,,4.51
2011,Riau,91.63,66.26,53.31,,,,,8.29
2011,Sulawesi Barat,89.18,62.76,48.41,,,,,6.65
