Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,IPM_Laki_Laki,IPM_Perempuan,PPK,PSN (Stunting),RLS
2003,Aceh,95.36,78.74,61.63,79.85,74.35,5633.0,51.1,7.47
2003,Bali,91.58,68.63,53.36,81.96,78.53,11366.47,41.4,6.75
2003,Banten,93.77,62.28,36.41,80.81,75.62,9327.6,9.2,7.13
2003,Bengkulu,91.99,60.44,42.54,79.34,73.14,6266.33,30.3,7.14
2003,Daerah Istimewa Yogyakarta,91.98,79.06,59.77,85.08,81.32,10286.47,29.7,7.67
2003,Daerah Khusus Jakarta,91.61,77.58,63.26,86.84,84.17,13701.07,0.0,9.69
2003,Gorontalo,87.33,47.86,24.58,74.93,66.81,5666.33,42.0,5.98
2003,Jambi,93.78,61.3,40.68,79.14,71.58,7052.4,24.9,6.64
2003,Jawa Barat,92.45,61.02,34.65,79.33,72.4,7140.2,25.3,6.42
2003,Jawa Tengah,93.7,66.61,38.29,78.32,73.41,7032.8,32.3,5.78
2003,Jawa Timur,93.48,64.47,40.83,79.83,74.47,7593.13,36.9,5.89
2003,Kalimantan Barat,88.89,50.88,29.11,76.3,67.87,5394.87,86.3,5.58
2003,Kalimantan Selatan,92.46,56.33,30.53,79.89,72.68,8442.73,37.3,6.55
2003,Kalimantan Tengah,94.75,58.64,37.23,78.7,71.18,7249.47,84.1,6.85
2003,Kalimantan Timur,91.33,67.98,49.83,83.74,73.7,7718.4,32.6,7.75
2003,Kalimantan Utara,90.37,61.04,46.16,77.77,69.51,5984.13,100.0,6.87
2003,Kepulauan Bangka Belitung,91.69,50.61,33.8,78.57,71.88,9312.07,7.8,6.39
2003,Kepulauan Riau,91.52,63.1,49.57,83.44,79.49,10310.47,41.6,8.85
2003,Lampung,92.06,63.24,35.81,77.52,71.24,6225.0,15.5,6.57
2003,Maluku,91.03,62.59,43.53,77.35,72.63,6338.4,17.6,7.56
2003,Maluku Utara,94.06,62.15,38.7,77.11,70.26,5085.53,23.2,7.06
2003,Nusa Tenggara Barat,92.48,57.19,33.45,77.9,71.6,6931.33,48.6,5.02
2003,Nusa Tenggara Timur,88.27,39.1,23.57,73.52,69.0,5202.33,71.2,5.73
2003,Papua,83.86,47.81,30.11,78.64,71.31,1731.6,0.0,5.78
2003,Papua Barat,87.32,51.79,30.66,75.44,62.52,5201.0,19.3,5.97
2003,Papua Barat Daya,87.53,54.68,31.74,77.1,65.2,4069.07,72.4,5.79
2003,Papua Pegunungan,68.17,35.71,12.9,59.65,52.39,677.67,38.8,1.61
2003,Papua Selatan,80.96,37.27,18.51,74.8,62.95,4867.8,0.0,5.78
2003,Papua Tengah,65.87,33.88,8.62,65.45,53.79,2920.8,37.5,3.52
2003,Riau,94.13,67.19,47.25,80.06,72.41,8720.73,34.8,7.52
2003,Sulawesi Barat,89.31,55.04,33.92,74.93,68.26,6171.07,12.6,5.49
2003,Sulawesi Selatan,89.21,54.04,37.18,79.45,74.92,7292.2,33.2,6.3
2003,Sulawesi Tengah,90.85,54.68,33.25,76.17,70.95,7027.47,25.9,6.62
2003,Sulawesi Tenggara,91.19,63.39,36.59,78.18,71.84,6350.13,63.7,6.43
2003,Sulawesi Utara,89.18,68.33,44.42,79.15,76.13,7668.27,21.2,7.87
2003,Sumatera Barat,92.59,66.0,49.88,79.95,76.89,7840.87,70.6,7.44
2003,Sumatera Selatan,92.36,59.41,35.73,77.99,73.38,7146.67,7.4,6.68
2003,Sumatera Utara,94.62,72.95,53.03,80.14,73.9,7455.33,20.7,7.82
2004,Aceh,95.88,79.98,62.04,79.85,74.35,5885.64,48.92,7.57
2004,Bali,93.48,69.37,54.11,81.96,78.53,11549.04,39.49,6.88
2004,Banten,94.12,63.75,39.68,80.81,75.62,9517.16,8.94,7.23
2004,Bengkulu,94.72,67.02,49.01,79.34,73.14,6535.91,29.01,7.23
2004,Daerah Istimewa Yogyakarta,92.55,77.37,61.51,85.08,81.32,10539.58,28.66,7.77
2004,Daerah Khusus Jakarta,91.87,76.08,61.25,86.84,84.17,14018.11,0.0,9.78
2004,Gorontalo,88.85,49.27,28.12,74.93,66.81,5951.36,40.16,6.09
2004,Jambi,93.46,65.69,42.24,79.14,71.58,7278.11,23.84,6.75
2004,Jawa Barat,93.41,61.74,37.18,79.33,72.4,7381.42,24.35,6.54
2004,Jawa Tengah,93.32,67.82,41.67,78.32,73.41,7292.49,31.14,5.89
2004,Jawa Timur,93.71,67.1,41.94,79.83,74.47,7862.04,35.4,6.01
2004,Kalimantan Barat,93.11,53.28,31.51,76.3,67.87,5635.51,82.86,5.69
2004,Kalimantan Selatan,93.19,59.27,35.57,79.89,72.68,8684.29,35.87,6.65
2004,Kalimantan Tengah,95.1,65.15,38.82,78.7,71.18,7493.22,80.4,6.94
2004,Kalimantan Timur,92.87,70.2,52.42,83.74,73.7,8015.47,31.48,7.86
2004,Kalimantan Utara,90.67,61.97,47.39,77.77,69.51,6192.49,100.0,6.99
2004,Kepulauan Bangka Belitung,90.02,56.38,38.15,78.57,71.88,9517.75,7.57,6.48
2004,Kepulauan Riau,91.82,64.03,50.8,83.44,79.49,10563.67,39.71,8.93
2004,Lampung,92.73,63.65,35.66,77.52,71.24,6473.09,14.92,6.66
2004,Maluku,90.92,68.06,56.39,77.35,72.63,6500.29,16.98,7.69
2004,Maluku Utara,93.8,64.17,44.08,77.11,70.26,5291.33,22.38,7.17
2004,Nusa Tenggara Barat,92.42,61.7,38.63,77.9,71.6,7158.18,46.96,5.15
2004,Nusa Tenggara Timur,90.79,43.26,28.27,73.52,69.0,5362.91,68.51,5.84
2004,Papua,85.21,47.78,30.39,78.64,71.31,2168.44,0.0,5.97
2004,Papua Barat,87.62,52.72,31.89,75.44,62.52,5378.91,18.88,6.06
2004,Papua Barat Daya,87.83,55.61,32.97,77.1,65.2,4296.65,69.13,5.92
2004,Papua Pegunungan,68.47,36.64,14.13,59.65,52.39,913.27,36.93,1.74
2004,Papua Selatan,81.26,38.2,19.74,74.8,62.95,5100.31,0.0,5.91
2004,Papua Tengah,66.17,34.81,9.85,65.45,53.79,3153.31,36.11,3.65
2004,Riau,94.64,69.65,47.73,80.06,72.41,8880.38,33.21,7.61
2004,Sulawesi Barat,89.61,55.97,35.15,74.93,68.26,6368.56,13.13,5.62
2004,Sulawesi Selatan,90.64,57.41,38.39,79.45,74.92,7541.33,31.95,6.42
2004,Sulawesi Tengah,91.44,59.45,36.33,76.17,70.95,7205.04,25.17,6.74
2004,Sulawesi Tenggara,90.18,64.02,40.17,78.18,71.84,6561.13,61.03,6.57
2004,Sulawesi Utara,88.26,67.87,50.71,79.15,76.13,7885.62,20.26,7.97
2004,Sumatera Barat,93.64,69.55,53.13,79.95,76.89,8031.78,67.51,7.54
2004,Sumatera Selatan,93.13,64.81,39.48,77.99,73.38,7386.18,7.12,6.77
2004,Sumatera Utara,93.61,73.02,56.65,80.14,73.9,7657.27,19.89,7.92
2005,Aceh,90.25,62.78,45.84,79.85,74.35,6138.27,46.74,7.68
2005,Bali,93.26,70.03,53.04,81.96,78.53,11731.61,37.58,7.02
2005,Banten,93.24,61.19,44.37,80.81,75.62,9706.73,8.68,7.33
2005,Bengkulu,92.64,61.87,45.41,79.34,73.14,6805.48,27.72,7.32
2005,Daerah Istimewa Yogyakarta,95.46,83.27,62.45,85.08,81.32,10792.7,27.62,7.88
2005,Daerah Khusus Jakarta,92.4,74.95,58.62,86.84,84.17,14335.15,0.0,9.86
2005,Gorontalo,88.22,46.3,32.44,74.93,66.81,6236.39,38.32,6.2
2005,Jambi,93.52,64.44,39.54,79.14,71.58,7503.82,22.78,6.86
2005,Jawa Barat,91.86,59.99,36.89,79.33,72.4,7622.64,23.4,6.65
2005,Jawa Tengah,94.47,69.99,43.3,78.32,73.41,7552.18,29.98,5.99
2005,Jawa Timur,94.91,68.85,44.86,79.83,74.47,8130.94,33.9,6.12
2005,Kalimantan Barat,92.49,53.31,32.25,76.3,67.87,5876.15,79.42,5.79
2005,Kalimantan Selatan,95.24,56.89,33.54,79.89,72.68,8925.85,34.44,6.75
2005,Kalimantan Tengah,95.14,71.49,39.49,78.7,71.18,7736.97,76.7,7.04
2005,Kalimantan Timur,92.62,69.8,49.08,83.74,73.7,8312.55,30.36,7.97
2005,Kalimantan Utara,90.98,62.9,48.61,77.77,69.51,6400.85,100.0,7.11
2005,Kepulauan Bangka Belitung,92.0,61.61,39.57,78.57,71.88,9723.42,7.34,6.57
2005,Kepulauan Riau,91.65,66.48,51.06,83.44,79.49,10816.88,37.82,9.01
2005,Lampung,93.54,64.91,39.64,77.52,71.24,6721.18,14.34,6.74
2005,Maluku,91.49,70.43,54.37,77.35,72.63,6662.18,16.36,7.82
2005,Maluku Utara,93.44,61.0,52.65,77.11,70.26,5497.12,21.56,7.28
2005,Nusa Tenggara Barat,92.99,67.53,41.25,77.9,71.6,7385.03,45.32,5.29
2005,Nusa Tenggara Timur,92.0,43.0,27.77,73.52,69.0,5523.48,65.82,5.95
2005,Papua,81.05,44.95,40.49,78.64,71.31,2605.27,0.0,6.16
2005,Papua Barat,87.93,53.65,33.11,75.44,62.52,5556.82,18.46,6.15
2005,Papua Barat Daya,88.14,56.54,34.19,77.1,65.2,4524.24,65.86,6.04
2005,Papua Pegunungan,68.78,37.57,15.35,59.65,52.39,1148.88,35.06,1.86
2005,Papua Selatan,81.57,39.13,20.96,74.8,62.95,5332.82,0.0,6.03
2005,Papua Tengah,66.48,35.74,11.07,65.45,53.79,3385.82,34.72,3.77
2005,Riau,94.95,72.5,50.51,80.06,72.41,9040.03,31.62,7.7
2005,Sulawesi Barat,89.92,56.9,36.37,74.93,68.26,6566.06,13.66,5.74
2005,Sulawesi Selatan,92.04,59.1,39.95,79.45,74.92,7790.45,30.7,6.55
2005,Sulawesi Tengah,92.1,60.89,35.45,76.17,70.95,7382.61,24.44,6.85
2005,Sulawesi Tenggara,92.64,66.04,44.04,78.18,71.84,6772.12,58.36,6.71
2005,Sulawesi Utara,90.64,65.86,50.02,79.15,76.13,8102.97,19.32,8.06
2005,Sumatera Barat,93.65,68.77,53.36,79.95,76.89,8222.7,64.42,7.63
2005,Sumatera Selatan,94.14,64.94,42.54,77.99,73.38,7625.7,6.84,6.86
2005,Sumatera Utara,93.98,72.79,53.5,80.14,73.9,7859.21,19.08,8.02
2006,Aceh,95.48,78.39,57.07,79.85,74.35,6390.91,44.56,7.78
2006,Bali,93.33,70.15,53.54,81.96,78.53,11914.18,35.67,7.15
2006,Banten,94.83,66.56,41.44,80.81,75.62,9896.29,8.42,7.43
2006,Bengkulu,93.89,66.73,47.1,79.34,73.14,7075.06,26.43,7.41
2006,Daerah Istimewa Yogyakarta,94.38,72.3,55.85,85.08,81.32,11045.81,26.58,7.99
2006,Daerah Khusus Jakarta,90.78,71.41,52.82,86.84,84.17,14652.19,0.0,9.95
2006,Gorontalo,90.48,52.31,34.47,74.93,66.81,6521.42,36.48,6.31
2006,Jambi,94.36,65.32,40.95,79.14,71.58,7729.53,21.72,6.97
2006,Jawa Barat,94.21,62.13,37.84,79.33,72.4,7863.85,22.45,6.77
2006,Jawa Tengah,94.05,67.67,42.36,78.32,73.41,7811.87,28.82,6.1
2006,Jawa Timur,94.2,70.28,46.35,79.83,74.47,8399.84,32.4,6.23
2006,Kalimantan Barat,93.82,60.92,34.77,76.3,67.87,6116.79,75.98,5.9
2006,Kalimantan Selatan,93.28,62.12,37.23,79.89,72.68,9167.41,33.01,6.84
2006,Kalimantan Tengah,95.97,67.69,42.66,78.7,71.18,7980.72,73.0,7.13
2006,Kalimantan Timur,92.86,64.0,50.41,83.74,73.7,8609.62,29.24,8.07
2006,Kalimantan Utara,91.28,63.83,49.84,77.77,69.51,6609.21,100.0,7.23
2006,Kepulauan Bangka Belitung,91.51,55.3,34.84,78.57,71.88,9929.1,7.11,6.66
2006,Kepulauan Riau,93.66,72.01,52.13,83.44,79.49,11070.08,35.93,9.09
2006,Lampung,93.94,66.65,39.87,77.52,71.24,6969.27,13.76,6.83
2006,Maluku,92.24,76.86,55.66,77.35,72.63,6824.07,15.74,7.95
2006,Maluku Utara,93.1,65.31,48.66,77.11,70.26,5702.92,20.74,7.39
2006,Nusa Tenggara Barat,94.5,69.62,43.58,77.9,71.6,7611.88,43.68,5.42
2006,Nusa Tenggara Timur,91.58,47.23,30.97,73.52,69.0,5684.06,63.13,6.06
2006,Papua,78.11,47.36,33.36,78.64,71.31,3042.11,0.0,6.35
2006,Papua Barat,88.16,53.94,35.31,75.44,62.52,5734.73,18.04,6.24
2006,Papua Barat Daya,88.44,57.47,35.42,77.1,65.2,4751.83,62.59,6.16
2006,Papua Pegunungan,69.08,38.5,16.58,59.65,52.39,1384.48,33.19,1.98
2006,Papua Selatan,81.87,40.06,22.19,74.8,62.95,5565.33,0.0,6.15
2006,Papua Tengah,66.78,36.67,12.3,65.45,53.79,3618.33,33.33,3.89
2006,Riau,94.72,72.93,49.43,80.06,72.41,9199.68,30.03,7.79
2006,Sulawesi Barat,91.67,55.19,32.35,74.93,68.26,6763.56,14.19,5.87
2006,Sulawesi Selatan,91.08,60.27,40.86,79.45,74.92,8039.58,29.45,6.67
2006,Sulawesi Tengah,92.87,62.97,39.51,76.17,70.95,7560.18,23.71,6.97
2006,Sulawesi Tenggara,92.26,72.42,47.28,78.18,71.84,6983.12,55.69,6.85
2006,Sulawesi Utara,90.4,66.03,48.78,79.15,76.13,8320.32,18.38,8.15
2006,Sumatera Barat,94.17,67.77,51.05,79.95,76.89,8413.61,61.33,7.73
2006,Sumatera Selatan,93.01,68.01,43.15,77.99,73.38,7865.21,6.56,6.95
2006,Sumatera Utara,93.96,73.08,54.14,80.14,73.9,8061.15,18.27,8.12
2007,Aceh,95.75,76.44,61.95,79.85,74.35,6643.55,42.38,7.88
2007,Bali,94.49,66.69,55.81,81.96,78.53,12096.75,33.76,7.28
2007,Banten,93.03,58.96,38.97,80.81,75.62,10085.85,8.16,7.53
2007,Bengkulu,94.3,68.92,48.67,79.34,73.14,7344.64,25.14,7.5
2007,Daerah Istimewa Yogyakarta,93.53,74.94,57.88,85.08,81.32,11298.93,25.54,8.1
2007,Daerah Khusus Jakarta,93.27,71.36,49.76,86.84,84.17,14969.24,0.0,10.03
2007,Gorontalo,90.18,53.15,37.87,74.93,66.81,6806.45,34.64,6.42
2007,Jambi,93.88,65.88,44.41,79.14,71.58,7955.24,20.66,7.07
2007,Jawa Barat,94.17,67.27,38.29,79.33,72.4,8105.07,21.5,6.89
2007,Jawa Tengah,94.78,69.19,44.11,78.32,73.41,8071.56,27.66,6.21
2007,Jawa Timur,94.5,69.21,47.97,79.83,74.47,8668.75,30.9,6.35
2007,Kalimantan Barat,93.48,54.77,36.16,76.3,67.87,6357.44,72.54,6.0
2007,Kalimantan Selatan,94.0,59.65,35.73,79.89,72.68,9408.96,31.58,6.94
2007,Kalimantan Tengah,95.48,60.12,39.28,78.7,71.18,8224.47,69.3,7.22
2007,Kalimantan Timur,93.34,71.24,52.88,83.74,73.7,8906.69,28.12,8.18
2007,Kalimantan Utara,91.58,64.76,51.06,77.77,69.51,6817.56,100.0,7.34
2007,Kepulauan Bangka Belitung,91.59,52.58,37.53,78.57,71.88,10134.78,6.88,6.76
2007,Kepulauan Riau,93.5,71.69,52.63,83.44,79.49,11323.29,34.04,9.17
2007,Lampung,94.04,68.47,40.72,77.52,71.24,7217.36,13.18,6.91
2007,Maluku,93.45,70.08,59.38,77.35,72.63,6985.96,15.12,8.07
2007,Maluku Utara,91.95,64.67,51.39,77.11,70.26,5908.71,19.92,7.5
2007,Nusa Tenggara Barat,94.2,70.79,48.26,77.9,71.6,7838.73,42.04,5.56
2007,Nusa Tenggara Timur,91.61,49.75,33.75,73.52,69.0,5844.64,60.44,6.17
2007,Papua,80.94,48.69,35.78,78.64,71.31,3478.95,0.0,6.55
2007,Papua Barat,90.67,48.76,43.16,75.44,62.52,5912.64,17.62,6.33
2007,Papua Barat Daya,88.74,58.4,36.64,77.1,65.2,4979.42,59.32,6.29
2007,Papua Pegunungan,69.38,39.43,17.8,59.65,52.39,1620.09,31.32,2.11
2007,Papua Selatan,82.17,40.99,23.41,74.8,62.95,5797.84,0.0,6.28
2007,Papua Tengah,67.08,37.6,13.52,65.45,53.79,3850.84,31.94,4.02
2007,Riau,94.8,70.0,51.54,80.06,72.41,9359.33,28.44,7.88
2007,Sulawesi Barat,92.17,53.39,33.28,74.93,68.26,6961.05,14.72,6.0
2007,Sulawesi Selatan,92.19,60.8,41.91,79.45,74.92,8288.71,28.2,6.79
2007,Sulawesi Tengah,92.04,59.36,39.27,76.17,70.95,7737.75,22.98,7.08
2007,Sulawesi Tenggara,93.64,65.89,47.32,78.18,71.84,7194.11,53.02,7.0
2007,Sulawesi Utara,90.75,66.25,50.45,79.15,76.13,8537.67,17.44,8.25
2007,Sumatera Barat,94.45,67.33,54.23,79.95,76.89,8604.53,58.24,7.82
2007,Sumatera Selatan,92.81,65.15,42.72,77.99,73.38,8104.73,6.28,7.04
2007,Sumatera Utara,93.96,73.61,54.95,80.14,73.9,8263.09,17.46,8.22
2008,Aceh,96.05,76.58,62.19,79.85,74.35,6896.18,40.2,7.99
2008,Bali,94.93,67.34,55.65,81.96,78.53,12279.32,31.85,7.41
2008,Banten,93.39,59.5,38.83,80.81,75.62,10275.42,7.9,7.63
2008,Bengkulu,94.4,69.7,48.67,79.34,73.14,7614.21,23.85,7.59
2008,Daerah Istimewa Yogyakarta,94.32,75.31,58.96,85.08,81.32,11552.04,24.5,8.2
2008,Daerah Khusus Jakarta,93.81,71.5,50.05,86.84,84.17,15286.28,0.0,10.12
2008,Gorontalo,90.52,52.9,38.26,74.93,66.81,7091.48,32.8,6.53
2008,Jambi,94.31,66.31,44.81,79.14,71.58,8180.95,19.6,7.18
2008,Jawa Barat,94.19,68.2,38.31,79.33,72.4,8346.29,20.55,7.0
2008,Jawa Tengah,95.14,69.68,44.39,78.32,73.41,8331.25,26.5,6.31
2008,Jawa Timur,94.57,69.55,47.93,79.83,74.47,8937.65,29.4,6.46
2008,Kalimantan Barat,93.96,55.55,36.65,76.3,67.87,6598.08,69.1,6.1
2008,Kalimantan Selatan,94.17,60.56,35.78,79.89,72.68,9650.52,30.15,7.04
2008,Kalimantan Tengah,95.71,60.46,39.13,78.7,71.18,8468.22,65.6,7.32
2008,Kalimantan Timur,93.59,71.43,53.19,83.74,73.7,9203.76,27.0,8.29
2008,Kalimantan Utara,91.89,65.69,52.29,77.77,69.51,7025.92,100.0,7.46
2008,Kepulauan Bangka Belitung,91.77,53.11,37.72,78.57,71.88,10340.46,6.65,6.85
2008,Kepulauan Riau,93.79,72.18,53.4,83.44,79.49,11576.5,32.15,9.25
2008,Lampung,94.28,68.94,41.05,77.52,71.24,7465.45,12.6,7.0
2008,Maluku,93.87,70.58,59.38,77.35,72.63,7147.85,14.5,8.2
2008,Maluku Utara,92.47,65.13,51.73,77.11,70.26,6114.5,19.1,7.61
2008,Nusa Tenggara Barat,94.2,71.44,48.38,77.9,71.6,8065.58,40.4,5.7
2008,Nusa Tenggara Timur,91.72,49.87,34.67,73.52,69.0,6005.21,57.75,6.28
2008,Papua,81.76,48.95,35.79,78.64,71.31,3915.78,0.0,6.74
2008,Papua Barat,90.76,48.98,43.74,75.44,62.52,6090.55,17.2,6.42
2008,Papua Barat Daya,89.05,59.33,37.87,77.1,65.2,5207.01,56.05,6.41
2008,Papua Pegunungan,69.69,40.36,19.03,59.65,52.39,1855.7,29.45,2.23
2008,Papua Selatan,82.48,41.92,24.64,74.8,62.95,6030.35,0.0,6.4
2008,Papua Tengah,67.39,38.53,14.75,65.45,53.79,4083.35,30.55,4.14
2008,Riau,95.04,70.66,51.84,80.06,72.41,9518.98,26.85,7.97
2008,Sulawesi Barat,92.75,53.24,34.21,74.93,68.26,7158.55,15.25,6.12
2008,Sulawesi Selatan,92.17,61.06,41.99,79.45,74.92,8537.84,26.95,6.91
2008,Sulawesi Tengah,92.82,59.73,39.93,76.17,70.95,7915.32,22.25,7.2
2008,Sulawesi Tenggara,94.24,66.41,47.98,78.18,71.84,7405.1,50.35,7.14
2008,Sulawesi Utara,91.17,66.58,50.45,79.15,76.13,8755.02,16.5,8.34
2008,Sumatera Barat,94.66,67.63,54.68,79.95,76.89,8795.44,55.15,7.92
2008,Sumatera Selatan,92.97,65.87,43.05,77.99,73.38,8344.24,6.0,7.13
2008,Sumatera Utara,94.26,74.17,55.16,80.14,73.9,8465.03,16.65,8.32
2009,Aceh,96.95,77.4,62.12,79.85,74.35,7148.82,38.02,8.09
2009,Bali,94.99,67.38,56.48,81.96,78.53,12461.88,29.94,7.55
2009,Banten,94.07,59.69,38.77,80.81,75.62,10464.98,7.64,7.73
2009,Bengkulu,94.98,69.84,48.99,79.34,73.14,7883.79,22.56,7.68
2009,Daerah Istimewa Yogyakarta,94.38,75.34,58.69,85.08,81.32,11805.16,23.46,8.31
2009,Daerah Khusus Jakarta,94.07,72.02,50.43,86.84,84.17,15603.32,0.02,10.2
2009,Gorontalo,90.4,53.05,38.47,74.93,66.81,7376.52,30.96,6.64
2009,Jambi,95.05,66.42,44.71,79.14,71.58,8406.65,18.54,7.29
2009,Jawa Barat,94.56,67.91,38.59,79.33,72.4,8587.51,19.6,7.12
2009,Jawa Tengah,95.63,69.67,44.53,78.32,73.41,8590.95,25.34,6.42
2009,Jawa Timur,95.27,69.9,48.26,79.83,74.47,9206.55,27.9,6.57
2009,Kalimantan Barat,93.96,55.45,36.4,76.3,67.87,6838.72,65.66,6.21
2009,Kalimantan Selatan,94.49,60.56,35.71,79.89,72.68,9892.08,28.72,7.14
2009,Kalimantan Tengah,96.14,60.59,39.27,78.7,71.18,8711.98,61.9,7.41
2009,Kalimantan Timur,93.74,72.06,53.1,83.74,73.7,9500.84,25.88,8.4
2009,Kalimantan Utara,92.19,66.62,53.52,77.77,69.51,7234.28,95.0,7.58
2009,Kepulauan Bangka Belitung,92.52,53.1,38.13,78.57,71.88,10546.14,6.42,6.94
2009,Kepulauan Riau,93.92,72.53,53.42,83.44,79.49,11829.7,30.26,9.32
2009,Lampung,94.79,69.17,41.43,77.52,71.24,7713.55,12.02,7.08
2009,Maluku,94.38,71.48,59.58,77.35,72.63,7309.75,13.88,8.33
2009,Maluku Utara,93.39,65.49,51.74,77.11,70.26,6320.3,18.28,7.72
2009,Nusa Tenggara Barat,94.75,71.32,48.51,77.9,71.6,8292.42,38.76,5.83
2009,Nusa Tenggara Timur,92.46,50.21,34.15,73.52,69.0,6165.79,55.06,6.39
2009,Papua,76.09,49.08,35.77,78.64,71.31,4352.62,0.0,6.93
2009,Papua Barat,91.25,49.03,43.55,75.44,62.52,6268.45,16.78,6.51
2009,Papua Barat Daya,89.35,60.26,39.1,77.1,65.2,5434.59,52.78,6.53
2009,Papua Pegunungan,69.99,41.29,20.26,59.65,52.39,2091.3,27.58,2.35
2009,Papua Selatan,82.78,42.85,25.87,74.8,62.95,6262.85,0.0,6.52
2009,Papua Tengah,67.69,39.46,15.98,65.45,53.79,4315.85,29.16,4.26
2009,Riau,95.52,70.57,51.78,80.06,72.41,9678.62,25.26,8.06
2009,Sulawesi Barat,92.77,53.35,33.41,74.93,68.26,7356.05,15.78,6.25
2009,Sulawesi Selatan,92.27,61.74,42.03,79.45,74.92,8786.96,25.7,7.03
