Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,PPK,RLS
2016,Aceh,98.16,85.73,70.0,8768.0,8.86
2016,Bali,95.75,84.99,71.71,13279.0,8.36
2016,Banten,97.22,79.93,57.21,11469.0,8.37
2016,Bengkulu,98.22,77.02,65.29,9492.0,8.37
2016,Daerah Istimewa Yogyakarta,99.21,83.05,68.96,13229.0,9.12
2016,Daerah Khusus Jakarta,97.01,80.35,59.3,17468.0,10.88
2016,Gorontalo,97.23,68.89,56.37,9175.0,7.12
2016,Jambi,97.81,78.09,59.52,9795.0,8.07
2016,Jawa Barat,97.82,79.76,56.92,10035.0,7.95
2016,Jawa Tengah,96.64,78.89,58.49,10153.0,7.15
2016,Jawa Timur,97.49,81.35,60.76,10715.0,7.23
2016,Kalimantan Barat,96.22,64.69,50.43,8348.0,6.98
2016,Kalimantan Selatan,98.05,72.7,55.91,11307.0,7.89
2016,Kalimantan Tengah,98.67,75.92,52.5,10155.0,8.13
2016,Kalimantan Timur,97.13,79.2,67.92,11355.0,9.24
2016,Kalimantan Utara,92.18,77.46,62.8,8434.0,8.49
2016,Kepulauan Bangka Belitung,96.75,72.75,57.22,11960.0,7.62
2016,Kepulauan Riau,98.83,84.06,71.58,13359.0,9.67
2016,Lampung,98.46,78.34,58.85,9156.0,7.63
2016,Maluku,94.5,73.4,63.49,8215.0,9.27
2016,Maluku Utara,96.75,75.68,63.47,7545.0,8.52
2016,Nusa Tenggara Barat,97.9,83.17,65.19,9575.0,6.79
2016,Nusa Tenggara Timur,95.24,66.56,52.87,7122.0,7.02
2016,Papua,78.66,54.26,43.27,6637.0,6.15
2016,Papua Barat,93.06,68.58,62.62,7175.0,7.06
2016,Papua Barat Daya,91.48,66.76,47.68,6985.0,7.4
2016,Papua Pegunungan,72.12,47.79,28.84,3770.0,3.22
2016,Papua Selatan,84.91,49.35,34.45,7892.0,7.39
2016,Papua Tengah,69.82,45.96,24.56,5945.0,5.13
2016,Riau,96.74,78.53,62.76,10465.0,8.59
2016,Sulawesi Barat,95.41,69.1,57.08,8450.0,7.14
2016,Sulawesi Selatan,96.99,73.67,59.62,10281.0,7.75
2016,Sulawesi Tengah,92.48,71.25,63.61,9034.0,8.12
