Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,PSN (Stunting)
2020,Aceh,99.03,86.87,70.7,13.4
2020,Bali,96.84,87.26,73.29,9.4
2020,Banten,97.95,82.73,59.06,4.9
2020,Bengkulu,98.65,79.77,65.82,8.3
2020,Daerah Istimewa Yogyakarta,99.59,83.98,70.98,11.9
2020,Daerah Khusus Jakarta,98.05,82.47,60.42,0.1
2020,Gorontalo,98.5,70.68,57.86,11.0
2020,Jambi,99.11,79.93,61.38,7.6
2020,Jawa Barat,98.37,82.06,57.9,9.0
2020,Jawa Tengah,97.9,80.53,59.74,13.1
2020,Jawa Timur,97.99,83.53,62.24,11.5
2020,Kalimantan Barat,97.36,67.42,51.7,27.4
2020,Kalimantan Selatan,98.76,75.51,58.25,13.1
2020,Kalimantan Tengah,99.11,78.45,54.08,22.2
2020,Kalimantan Timur,98.44,81.28,69.0,14.5
2020,Kalimantan Utara,93.46,79.09,64.75,28.7
2020,Kepulauan Bangka Belitung,97.73,74.59,58.82,3.3
2020,Kepulauan Riau,99.16,86.47,73.45,9.2
2020,Lampung,99.16,81.17,59.58,5.3
2020,Maluku,96.85,75.15,64.81,8.3
2020,Maluku Utara,97.21,76.9,64.25,9.3
2020,Nusa Tenggara Barat,98.78,84.98,66.81,20.2
2020,Nusa Tenggara Timur,96.09,69.82,54.09,26.3
2020,Papua,79.34,57.95,44.73,4.7
2020,Papua Barat,93.88,70.51,63.62,12.0
2020,Papua Barat Daya,92.69,70.48,52.58,17.7
2020,Papua Pegunungan,73.33,51.51,33.74,5.9
2020,Papua Selatan,86.12,53.07,39.35,11.3
2020,Papua Tengah,71.03,49.68,29.46,16.6
2020,Riau,97.73,80.48,64.01,7.7
2020,Sulawesi Barat,95.8,69.98,58.05,22.7
2020,Sulawesi Selatan,97.98,76.17,60.32,11.9
2020,Sulawesi Tengah,93.24,74.42,65.02,13.7
2020,Sulawesi Tenggara,97.7,77.64,63.41,16.7
2020,Sulawesi Utara,95.13,74.82,63.43,5.3
2020,Sumatera Barat,98.8,78.41,68.9,17.5
2020,Sumatera Selatan,97.91,77.97,60.45,2.3
2020,Sumatera Utara,97.73,80.56,68.0,6.8
2021,Aceh,98.95,86.95,70.8,12.1
2021,Bali,97.2,87.11,74.82,5.0
2021,Banten,98.15,84.28,59.69,6.7
2021,Bengkulu,98.61,80.25,66.08,6.3
2021,Daerah Istimewa Yogyakarta,99.44,83.62,71.42,10.6
2021,Daerah Khusus Jakarta,98.22,83.01,60.53,3.2
2021,Gorontalo,98.65,71.15,58.21,8.5
2021,Jambi,99.41,79.88,61.56,3.0
2021,Jawa Barat,98.37,82.88,58.58,8.3
2021,Jawa Tengah,98.22,80.99,60.46,9.0
2021,Jawa Timur,97.9,83.8,62.63,10.7
2021,Kalimantan Barat,97.42,68.11,51.77,21.0
2021,Kalimantan Selatan,98.94,75.88,58.37,10.4
2021,Kalimantan Tengah,99.01,78.8,54.25,10.8
2021,Kalimantan Timur,98.36,81.3,69.29,11.8
2021,Kalimantan Utara,93.38,79.21,65.37,18.5
2021,Kepulauan Bangka Belitung,97.89,74.6,58.79,5.9
2021,Kepulauan Riau,99.26,86.6,73.36,7.6
2021,Lampung,99.1,82.03,60.31,6.1
2021,Maluku,96.92,75.53,64.71,6.8
2021,Maluku Utara,97.2,77.03,64.11,13.0
2021,Nusa Tenggara Barat,98.81,85.28,67.09,21.7
2021,Nusa Tenggara Timur,96.04,69.99,54.29,22.6
2021,Papua,80.38,57.93,44.41,11.4
2021,Papua Barat,94.09,70.52,63.51,12.8
2021,Papua Barat Daya,93.0,71.41,53.81,13.8
2021,Papua Pegunungan,73.64,52.44,34.97,7.5
2021,Papua Selatan,86.43,54.0,40.58,13.1
2021,Papua Tengah,71.34,50.61,30.69,6.6
2021,Riau,97.85,80.52,64.0,6.0
2021,Sulawesi Barat,95.68,70.03,59.77,19.3
2021,Sulawesi Selatan,98.26,77.02,60.35,10.4
2021,Sulawesi Tengah,93.33,74.99,65.44,13.2
2021,Sulawesi Tenggara,98.15,77.86,63.7,18.5
2021,Sulawesi Utara,95.39,74.94,63.33,3.0
2021,Sumatera Barat,98.82,78.75,68.99,15.1
2021,Sumatera Selatan,98.0,78.31,60.53,4.4
2021,Sumatera Utara,97.69,81.13,67.99,6.7
2022,Aceh,99.07,88.21,71.16,8.0
2022,Bali,97.46,86.88,74.73,4.5
2022,Banten,97.93,84.67,59.54,6.8
2022,Bengkulu,98.6,80.25,66.61,4.8
2022,Daerah Istimewa Yogyakarta,99.43,85.28,74.5,9.2
2022,Daerah Khusus Jakarta,98.37,84.22,60.88,1.2
2022,Gorontalo,98.74,71.66,58.47,7.5
2022,Jambi,99.33,79.93,60.73,4.1
2022,Jawa Barat,98.29,82.8,58.6,6.9
2022,Jawa Tengah,98.39,81.02,61.17,9.4
2022,Jawa Timur,98.09,83.8,62.1,9.5
2022,Kalimantan Barat,97.52,68.32,51.87,16.3
2022,Kalimantan Selatan,99.12,76.28,59.61,9.3
2022,Kalimantan Tengah,99.11,78.75,55.69,10.1
2022,Kalimantan Timur,98.45,82.65,69.1,13.5
2022,Kalimantan Utara,93.69,79.38,65.65,16.4
2022,Kepulauan Bangka Belitung,98.01,74.68,59.65,3.9
2022,Kepulauan Riau,99.2,86.76,73.54,4.9
2022,Lampung,99.29,82.07,61.96,4.5
2022,Maluku,96.9,78.37,64.57,9.9
2022,Maluku Utara,97.27,77.41,65.35,12.3
2022,Nusa Tenggara Barat,98.83,86.05,67.61,18.5
2022,Nusa Tenggara Timur,96.08,70.05,56.0,22.4
2022,Papua,81.66,59.14,47.63,9.1
2022,Papua Barat,94.31,71.38,63.66,11.9
2022,Papua Barat Daya,93.3,72.34,55.03,13.2
2022,Papua Pegunungan,73.94,53.37,36.19,2.3
2022,Papua Selatan,86.73,54.93,41.8,16.5
2022,Papua Tengah,71.64,51.54,31.91,13.4
2022,Riau,97.8,80.43,63.87,4.2
2022,Sulawesi Barat,95.81,70.34,60.24,23.1
2022,Sulawesi Selatan,98.41,77.42,60.44,9.0
2022,Sulawesi Tengah,93.25,75.63,65.72,13.1
2022,Sulawesi Tenggara,98.27,77.77,64.11,11.0
2022,Sulawesi Utara,95.44,76.11,63.3,2.3
