Tahun,Provinsi,IPM_Laki_Laki,IPM_Perempuan,PPK
2025,Aceh,79.85,74.35,11191.0
2025,Bali,81.96,78.53,15383.0
2025,Banten,80.81,75.62,13498.0
2025,Bengkulu,79.34,73.14,12197.0
2025,Daerah Istimewa Yogyakarta,85.08,81.32,15855.0
2025,Daerah Khusus Jakarta,86.84,84.17,20676.0
2025,Gorontalo,74.93,66.81,11937.0
2025,Jambi,79.14,71.58,12018.0
2025,Jawa Barat,79.33,72.4,12447.0
2025,Jawa Tengah,78.32,73.41,12746.0
2025,Jawa Timur,79.83,74.47,13509.0
2025,Kalimantan Barat,76.3,67.87,10689.0
2025,Kalimantan Selatan,79.89,72.68,13757.0
2025,Kalimantan Tengah,78.7,71.18,12612.0
2025,Kalimantan Timur,83.74,73.7,14254.0
2025,Kalimantan Utara,77.77,69.51,10568.0
2025,Kepulauan Bangka Belitung,78.57,71.88,13837.0
2025,Kepulauan Riau,83.44,79.49,15881.0
2025,Lampung,77.52,71.24,11683.0
2025,Maluku,77.35,72.63,9900.0
2025,Maluku Utara,77.11,70.26,9613.0
2025,Nusa Tenggara Barat,77.9,71.6,11922.0
2025,Nusa Tenggara Timur,73.52,69.0,8735.0
2025,Papua,78.64,71.31,11342.0
2025,Papua Barat,75.44,62.52,9115.0
2025,Papua Barat Daya,77.1,65.2,9076.0
2025,Papua Pegunungan,59.65,52.39,5861.0
2025,Papua Selatan,74.8,62.95,9983.0
2025,Papua Tengah,65.45,53.79,8036.0
2025,Riau,80.06,72.41,12233.0
2025,Sulawesi Barat,74.93,68.26,10516.0
2025,Sulawesi Selatan,79.45,74.92,12773.0
2025,Sulawesi Tengah,76.17,70.95,10934.0
2025,Sulawesi Tenggara,78.18,71.84,10992.0
2025,Sulawesi Utara,79.15,76.13,12450.0
2025,Sumatera Barat,79.95,76.89,12041.0
2025,Sumatera Selatan,77.99,73.38,12416.0
2025,Sumatera Utara,80.14,73.9,11898.0
