Tahun,Provinsi,PPK,RLS
2016,Aceh,8768.0,8.86
2016,Bali,13279.0,8.36
2016,Banten,11469.0,8.37
2016,Bengkulu,9492.0,8.37
2016,Daerah Istimewa Yogyakarta,13229.0,9.12
2016,Daerah Khusus Jakarta,17468.0,10.88
2016,Gorontalo,9175.0,7.12
2016,Jambi,9795.0,8.07
2016,Jawa Barat,10035.0,7.95
2016,Jawa Tengah,10153.0,7.15
2016,Jawa Timur,10715.0,7.23
2016,Kalimantan Barat,8348.0,6.98
2016,Kalimantan Selatan,11307.0,7.89
2016,Kalimantan Tengah,10155.0,8.13
2016,Kalimantan Timur,11355.0,9.24
2016,Kalimantan Utara,8434.0,8.49
2016,Kepulauan Bangka Belitung,11960.0,7.62
2016,Kepulauan Riau,13359.0,9.67
2016,Lampung,9156.0,7.63
2016,Maluku,8215.0,9.27
2016,Maluku Utara,7545.0,8.52
2016,Nusa Tenggara Barat,9575.0,6.79
2016,Nusa Tenggara Timur,7122.0,7.02
2016,Papua,6637.0,6.15
2016,Papua Barat,7175.0,7.06
2016,Papua Barat Daya,6985.0,7.4
2016,Papua Pegunungan,3770.0,3.22
2016,Papua Selatan,7892.0,7.39
2016,Papua Tengah,5945.0,5.13
2016,Riau,10465.0,8.59
2016,Sulawesi Barat,8450.0,7.14
2016,Sulawesi Selatan,10281.0,7.75
2016,Sulawesi Tengah,9034.0,8.12
2016,Sulawesi Tenggara,8871.0,8.32
2016,Sulawesi Utara,10148.0,8.96
2016,Sumatera Barat,10126.0,8.59
2016,Sumatera Selatan,9935.0,7.83
2016,Sumatera Utara,9744.0,9.12
2017,Aceh,8957.0,8.98
2017,Bali,13573.0,8.55
2017,Banten,11659.0,8.53
2017,Bengkulu,9778.0,8.47
2017,Daerah Istimewa Yogyakarta,13521.0,9.19
2017,Daerah Khusus Jakarta,17707.0,11.02
2017,Gorontalo,9532.0,7.28
2017,Jambi,9880.0,8.15
2017,Jawa Barat,10285.0,8.14
2017,Jawa Tengah,10377.0,7.27
2017,Jawa Timur,10973.0,7.34
2017,Kalimantan Barat,8472.0,7.05
2017,Kalimantan Selatan,11600.0,7.99
2017,Kalimantan Tengah,10492.0,8.29
2017,Kalimantan Timur,11612.0,9.36
2017,Kalimantan Utara,8643.0,8.62
2017,Kepulauan Bangka Belitung,12066.0,7.78
2017,Kepulauan Riau,13566.0,9.79
2017,Lampung,9413.0,7.79
2017,Maluku,8433.0,9.38
2017,Maluku Utara,7792.0,8.61
2017,Nusa Tenggara Barat,9877.0,6.9
2017,Nusa Tenggara Timur,7350.0,7.15
2017,Papua,6996.0,6.27
2017,Papua Barat,7493.0,7.15
2017,Papua Barat Daya,7218.0,7.52
2017,Papua Pegunungan,4003.0,3.34
2017,Papua Selatan,8125.0,7.51
2017,Papua Tengah,6178.0,5.25
2017,Riau,10677.0,8.76
2017,Sulawesi Barat,8736.0,7.31
2017,Sulawesi Selatan,10489.0,7.95
2017,Sulawesi Tengah,9311.0,8.29
2017,Sulawesi Tenggara,9094.0,8.46
