Tahun,Provinsi,PSN (Stunting),RLS
2020,Aceh,13.4,9.33
2020,Bali,9.4,8.95
2020,Banten,4.9,8.89
2020,Bengkulu,8.3,8.84
2020,Daerah Istimewa Yogyakarta,11.9,9.55
2020,Daerah Khusus Jakarta,0.1,11.13
2020,Gorontalo,11.0,7.82
2020,Jambi,7.6,8.55
2020,Jawa Barat,9.0,8.55
2020,Jawa Tengah,13.1,7.69
2020,Jawa Timur,11.5,7.78
2020,Kalimantan Barat,27.4,7.37
2020,Kalimantan Selatan,13.1,8.29
2020,Kalimantan Tengah,22.2,8.59
2020,Kalimantan Timur,14.5,9.77
2020,Kalimantan Utara,28.7,9.0
2020,Kepulauan Bangka Belitung,3.3,8.06
2020,Kepulauan Riau,9.2,10.12
2020,Lampung,5.3,8.05
2020,Maluku,8.3,9.93
2020,Maluku Utara,9.3,9.04
2020,Nusa Tenggara Barat,20.2,7.31
2020,Nusa Tenggara Timur,26.3,7.63
2020,Papua,4.7,6.69
2020,Papua Barat,12.0,7.6
2020,Papua Barat Daya,17.7,7.9
2020,Papua Pegunungan,5.9,3.72
2020,Papua Selatan,11.3,7.89
2020,Papua Tengah,16.6,5.63
2020,Riau,7.7,9.14
2020,Sulawesi Barat,22.7,7.89
2020,Sulawesi Selatan,11.9,8.38
2020,Sulawesi Tengah,13.7,8.83
2020,Sulawesi Tenggara,16.7,9.04
2020,Sulawesi Utara,5.3,9.49
2020,Sumatera Barat,17.5,8.99
2020,Sumatera Selatan,2.3,8.24
2020,Sumatera Utara,6.8,9.54
2021,Aceh,12.1,9.37
2021,Bali,5.0,9.06
2021,Banten,6.7,8.93
2021,Bengkulu,6.3,8.87
2021,Daerah Istimewa Yogyakarta,10.6,9.64
2021,Daerah Khusus Jakarta,3.2,11.17
2021,Gorontalo,8.5,7.9
2021,Jambi,3.0,8.6
2021,Jawa Barat,8.3,8.61
2021,Jawa Tengah,9.0,7.75
2021,Jawa Timur,10.7,7.88
2021,Kalimantan Barat,21.0,7.45
2021,Kalimantan Selatan,10.4,8.34
2021,Kalimantan Tengah,10.8,8.64
2021,Kalimantan Timur,11.8,9.84
2021,Kalimantan Utara,18.5,9.11
2021,Kepulauan Bangka Belitung,5.9,8.08
2021,Kepulauan Riau,7.6,10.18
2021,Lampung,6.1,8.08
2021,Maluku,6.8,10.03
2021,Maluku Utara,13.0,9.09
2021,Nusa Tenggara Barat,21.7,7.38
